"Rate[rps]","min [msec]","median [msec]","max [msec]"
10000,0.312,1.118,15024.1
20000,0.286,1.066,3.566
30000,0.278,1.136,5.492
40000,0.261,1.044,2.898
50000,0.253,1.107,3.712
60000,0.239,1.062,203.52
70000,0.242,1.087,201.984
80000,0.239,0.982,992.768
90000,0.238,1.107,993.28
100000,0.234,1.099,995.84
110000,0.233,1.123,1294.34
120000,0.229,1.133,1668.1
130000,0.242,1.175,998.912
140000,0.236,1.198,998.912
150000,0.243,1.214,1058.82
160000,0.237,1.194,1030.14
170000,0.238,1.638,1389.57
180000,0.252,2.065,2027.52
190000,0.272,272.127,7237.63
200000,0.266,915.967,9068.54
