"Percentile","Latency [msec]"
0.0001,0.003757
0.0002,0.003807
0.0003,0.003847
0.0004,0.003873
0.0005,0.003893
0.0006,0.003913
0.0007,0.003931
0.0008,0.003945
0.0009,0.003957
0.001,0.003969
0.0011,0.003979
0.0012,0.003989
0.0013,0.003997
0.0014,0.004005
0.0015,0.004013
0.0016,0.004019
0.0017,0.004025
0.0018,0.004029
0.0019,0.004035
0.002,0.004039
0.0021,0.004043
0.0022,0.004047
0.0023,0.004051
0.0024,0.004055
0.0025,0.004059
0.0026,0.004061
0.0027,0.004063
0.0028,0.004067
0.0029,0.004069
0.003,0.004073
0.0031,0.004075
0.0032,0.004077
0.0033,0.004079
0.0034,0.004083
0.0035,0.004085
0.0036,0.004087
0.0037,0.004089
0.0038,0.004091
0.0039,0.004093
0.004,0.004095
0.0041,0.004099
0.0042,0.004099
0.0043,0.004103
0.0044,0.004103
0.0045,0.004103
0.0046,0.004107
0.0047,0.004107
0.0048,0.004111
0.0049,0.004111
0.005,0.004115
0.0051,0.004115
0.0052,0.004115
0.0053,0.004119
0.0054,0.004119
0.0055,0.004119
0.0056,0.004123
0.0057,0.004123
0.0058,0.004127
0.0059,0.004127
0.006,0.004127
0.0061,0.004131
0.0062,0.004131
0.0063,0.004131
0.0064,0.004135
0.0065,0.004135
0.0066,0.004135
0.0067,0.004139
0.0068,0.004139
0.0069,0.004139
0.007,0.004143
0.0071,0.004143
0.0072,0.004143
0.0073,0.004147
0.0074,0.004147
0.0075,0.004147
0.0076,0.004151
0.0077,0.004151
0.0078,0.004151
0.0079,0.004155
0.008,0.004155
0.0081,0.004155
0.0082,0.004155
0.0083,0.004159
0.0084,0.004159
0.0085,0.004159
0.0086,0.004163
0.0087,0.004163
0.0088,0.004163
0.0089,0.004167
0.009,0.004167
0.0091,0.004167
0.0092,0.004167
0.0093,0.004171
0.0094,0.004171
0.0095,0.004171
0.0096,0.004175
0.0097,0.004175
0.0098,0.004175
0.0099,0.004179
0.01,0.004179
0.02,0.004291
0.03,0.004403
0.04,0.004515
0.05,0.004635
0.06,0.004767
0.07,0.004911
0.08,0.005103
0.09,0.005379
0.1,0.005743
0.11,0.006127
0.12,0.006503
0.13,0.006867
0.14,0.007211
0.15,0.007539
0.16,0.007851
0.17,0.008147
0.18,0.008447
0.19,0.008791
0.2,0.009239
0.21,0.009823
0.22,0.010527
0.23,0.011367
0.24,0.012367
0.25,0.013519
0.26,0.014943
0.27,0.016783
0.28,0.019263
0.29,0.023167
0.3,0.030431
0.31,0.040671
0.32,0.050239
0.33,0.059071
0.34,0.069439
0.35,0.078911
0.36,0.088191
0.37,0.096575
0.38,0.104191
0.39,0.111423
0.4,0.118975
0.41,0.125887
0.42,0.132223
0.43,0.138623
0.44,0.143999
0.45,0.148991
0.46,0.153471
0.47,0.158207
0.48,0.162559
0.49,0.166911
0.5,0.171007
0.51,0.174975
0.52,0.178943
0.53,0.182783
0.54,0.186623
0.55,0.190207
0.56,0.193919
0.57,0.197759
0.58,0.201343
0.59,0.205055
0.6,0.208511
0.61,0.212223
0.62,0.216703
0.63,0.221951
0.64,0.228863
0.65,0.238975
0.66,0.250495
0.67,0.260735
0.68,0.270847
0.69,0.279807
0.7,0.288767
0.71,0.297727
0.72,0.306687
0.73,0.315135
0.74,0.324095
0.75,0.333055
0.76,0.340991
0.77,0.348927
0.78,0.357119
0.79,0.365311
0.8,0.374527
0.81,0.384767
0.82,0.397055
0.83,0.409343
0.84,0.424959
0.85,0.450303
0.86,0.475903
0.87,0.500223
0.88,0.524799
0.89,0.550911
0.9,0.578047
0.91,0.614911
0.92,0.668159
0.93,0.715263
0.94,0.778751
0.95,0.855039
0.96,0.929791
0.97,1.02912
0.98,1.15814
0.99,1.30048
0.9901,1.30253
0.9902,1.30458
0.9903,1.30662
0.9904,1.30867
0.9905,1.3097
0.9906,1.31072
0.9907,1.31174
0.9908,1.31277
0.9909,1.31379
0.991,1.31379
0.9911,1.31482
0.9912,1.31584
0.9913,1.31686
0.9914,1.31789
0.9915,1.31891
