"Rate[rps]","min [msec]","median [msec]","max [msec]"
10000,0.327,1.115,3.082
20000,0.284,1.076,3.274
30000,0.265,1.126,5.1
40000,0.274,1.069,5.064
50000,0.259,1.093,3.864
60000,0.237,1.048,13.336
70000,0.241,1.08,4.08
80000,0.242,1.012,992.256
90000,0.231,1.088,993.28
100000,0.229,1.065,994.304
110000,0.232,1.08,996.352
120000,0.23,1.131,1186.82
130000,0.23,1.169,1136.64
140000,0.246,1.224,2197.5
150000,0.241,1.196,1215.49
160000,0.25,1.166,3000.32
170000,0.24,1.479,1202.18
180000,0.267,2.537,1134.59
190000,3.2,138.111,2324.48
200000,362.752,1193.98,3659.78
