"Percentile","Latency [msec]"
0.0001,2.14016
0.0002,2.20774
0.0003,2.27738
0.0004,2.34291
0.0005,2.42893
0.0006,2.5088
0.0007,2.54361
0.0008,2.57434
0.0009,2.60301
0.001,2.62554
0.0011,2.66445
0.0012,2.71155
0.0013,2.74227
0.0014,2.7607
0.0015,2.77914
0.0016,2.79962
0.0017,2.82419
0.0018,2.85491
0.0019,2.88358
0.002,2.90202
0.0021,2.9184
0.0022,2.94502
0.0023,2.99008
0.0024,3.00646
0.0025,3.02489
0.0026,3.05357
0.0027,3.08019
0.0028,3.09862
0.0029,3.11501
0.003,3.1273
0.0031,3.14163
0.0032,3.14982
0.0033,3.16416
0.0034,3.17645
0.0035,3.19078
0.0036,3.20512
0.0037,3.21945
0.0038,3.23174
0.0039,3.24198
0.004,3.25018
0.0041,3.25837
0.0042,3.26656
0.0043,3.27885
0.0044,3.29114
0.0045,3.30752
0.0046,3.31776
0.0047,3.33005
0.0048,3.34233
0.0049,3.35462
0.005,3.36691
0.0051,3.37715
0.0052,3.38739
0.0053,3.39558
0.0054,3.40377
0.0055,3.41197
0.0056,3.42426
0.0057,3.43654
0.0058,3.44678
0.0059,3.45907
0.006,3.46931
0.0061,3.47955
0.0062,3.49389
0.0063,3.50208
0.0064,3.51027
0.0065,3.52051
0.0066,3.52665
0.0067,3.53689
0.0068,3.54509
0.0069,3.55328
0.007,3.56147
0.0071,3.56966
0.0072,3.57786
0.0073,3.5881
0.0074,3.59424
0.0075,3.60038
0.0076,3.60858
0.0077,3.61472
0.0078,3.61882
0.0079,3.62496
0.008,3.6311
0.0081,3.63725
0.0082,3.64339
0.0083,3.64954
0.0084,3.65363
0.0085,3.65977
0.0086,3.66592
0.0087,3.67206
0.0088,3.67821
0.0089,3.6823
0.009,3.69049
0.0091,3.69459
0.0092,3.70073
0.0093,3.70483
0.0094,3.71097
0.0095,3.71507
0.0096,3.72326
0.0097,3.72736
0.0098,3.73555
0.0099,3.74169
0.01,3.74784
0.02,4.13696
0.03,4.36224
0.04,4.57113
0.05,4.73088
0.06,4.87014
0.07,5.00531
0.08,5.13638
0.09,5.23878
0.1,5.34118
0.11,5.44358
0.12,5.53779
0.13,5.6361
0.14,5.72211
0.15,5.82041
0.16,5.91053
0.17,6.00064
0.18,6.09894
0.19,6.19315
0.2,6.28736
0.21,6.37747
0.22,6.46349
0.23,6.55769
0.24,6.6601
0.25,6.7625
0.26,6.8608
0.27,6.95501
0.28,7.04922
0.29,7.14342
0.3,7.24582
0.31,7.34822
0.32,7.45062
0.33,7.55302
0.34,7.65542
0.35,7.76602
0.36,7.86841
0.37,7.97081
0.38,8.07321
0.39,8.17562
0.4,8.26573
0.41,8.36403
0.42,8.46233
0.43,8.56064
0.44,8.65894
0.45,8.75725
0.46,8.85555
0.47,8.96205
0.48,9.06035
0.49,9.15865
0.5,9.24877
0.51,9.35526
0.52,9.46176
0.53,9.56826
0.54,9.68294
0.55,9.78944
0.56,9.88774
0.57,9.97785
0.58,10.068
0.59,10.1581
0.6,10.2646
0.61,10.3793
0.62,10.494
0.63,10.6004
0.64,10.7151
0.65,10.8052
0.66,10.9036
0.67,10.9937
0.68,11.092
0.69,11.1903
0.7,11.2968
0.71,11.3951
0.72,11.5016
0.73,11.6081
0.74,11.7146
0.75,11.8129
0.76,11.9194
0.77,12.0259
0.78,12.1324
0.79,12.2388
0.8,12.3453
0.81,12.46
0.82,12.5665
0.83,12.6812
0.84,12.7959
0.85,12.9188
0.86,13.0417
0.87,13.1564
0.88,13.2874
0.89,13.4267
0.9,13.566
0.91,13.7052
0.92,13.8527
0.93,14.0165
0.94,14.1804
0.95,14.377
0.96,14.5818
0.97,14.8275
0.98,15.1306
0.99,15.6467
0.9901,15.6549
0.9902,15.6631
0.9903,15.6713
0.9904,15.6713
0.9905,15.6795
0.9906,15.6877
0.9907,15.6959
0.9908,15.6959
0.9909,15.7041
0.991,15.7041
0.9911,15.7123
0.9912,15.7204
0.9913,15.7286
0.9914,15.7286
0.9915,15.7368
0.9916,15.745
0.9917,15.745
0.9918,15.7532
0.9919,15.7614
0.992,15.7696
0.9921,15.7778
0.9922,15.786
0.9923,15.7942
0.9924,15.8024
0.9925,15.8188
0.9926,15.8269
0.9927,15.8351
0.9928,15.8433
0.9929,15.8515
0.993,15.8679
0.9931,15.8761
0.9932,15.8843
0.9933,15.8925
0.9934,15.9089
0.9935,15.9171
0.9936,15.9252
0.9937,15.9334
0.9938,15.9498
0.9939,15.958
0.994,15.9662
0.9941,15.9744
0.9942,15.9826
0.9943,15.9908
0.9944,15.999
0.9945,16.0154
0.9946,16.0236
0.9947,16.0399
0.9948,16.0481
0.9949,16.0645
0.995,16.0727
0.9951,16.0891
0.9952,16.1055
0.9953,16.1219
0.9954,16.13
0.9955,16.1464
0.9956,16.1628
0.9957,16.171
0.9958,16.1874
0.9959,16.2038
0.996,16.212
0.9961,16.2284
0.9962,16.2365
0.9963,16.2447
0.9964,16.2529
0.9965,16.2693
0.9966,16.2775
0.9967,16.2857
0.9968,16.2939
0.9969,16.3103
0.997,16.3267
0.9971,16.343
0.9972,16.3512
0.9973,16.3758
0.9974,16.3922
0.9975,16.4086
0.9976,16.425
0.9977,16.4413
0.9978,16.4577
0.9979,16.4659
0.998,16.4823
0.9981,16.5069
0.9982,16.5233
0.9983,16.5315
0.9984,16.556
0.9985,16.5806
0.9986,16.6052
0.9987,16.6298
0.9988,16.6625
0.9989,16.6871
0.999,16.7199
