"Rate[rps]","min [msec]","median [msec]","max [msec]"
10000,0.341,1.167,4.476
20000,0.309,1.17,5.272
30000,0.302,1.269,21.392
40000,0.283,1.189,12.984
50000,0.283,1.269,14.416
60000,0.275,1.186,209.28
70000,0.273,1.229,74.752
80000,0.275,1.238,991.744
90000,0.284,1.554,1003.52
100000,0.281,4.583,1374.21
110000,0.295,1198.08,10477.6
120000,0.277,2682.88,13795.3
130000,0.306,3784.7,13688.8
140000,0.311,4882.43,14680.1
150000,0.373,5812.22,16973.8
160000,0.367,6537.22,16515.1
170000,1.049,7331.84,17383.4
180000,1415.17,7897.09,16744.4
190000,1119.23,8626.17,17137.7
200000,1596.42,9453.57,19218.4
