"Rate[rps]","min [msec]","median [msec]","max [msec]"
10000,0.338,1.188,4.676
20000,0.31,1.148,5.828
30000,0.3,1.314,7.988
40000,0.284,1.192,13.464
50000,0.278,1.297,90.688
60000,0.263,1.218,62.656
70000,0.263,1.253,208
80000,0.265,1.217,56
90000,0.281,1.631,265.216
100000,0.279,4.587,934.912
110000,0.303,1183.74,11673.6
120000,0.316,2662.4,13148.2
130000,0.319,3686.4,14778.4
140000,0.337,4853.76,15736.8
150000,0.361,5865.47,16310.3
160000,190.08,6488.06,16810
170000,135.296,7217.15,17268.7
180000,968.192,7729.15,17973.2
190000,2051.07,8470.53,16769
200000,1831.94,9248.77,18300.9
