"Rate[rps]","min [msec]","median [msec]","max [msec]"
10000,0.317,1.111,2.976
20000,0.273,1.054,2.738
30000,0.284,1.152,3.504
40000,0.239,1.051,3.504
50000,0.238,1.149,5.74
60000,0.237,1.138,13.24
70000,0.237,1.162,23.376
80000,0.234,1.089,90.624
90000,0.241,1.419,15015.9
100000,0.232,109.375,7802.88
110000,0.229,94.399,3919.87
120000,0.241,556.543,8716.29
130000,0.232,1056.77,10985.5
140000,0.24,2781.18,13615.1
150000,0.232,3395.58,15376.4
160000,0.241,4175.87,20578.3
170000,0.258,5230.59,18137.1
180000,0.257,6115.33,24215.6
190000,0.267,6668.29,18874.4
200000,0.267,7503.87,23904.3
