"Percentile","Latency [msec]"
0.0001,0.000268
0.0002,0.000276
0.0003,0.000281
0.0004,0.000286
0.0005,0.000289
0.0006,0.000292
0.0007,0.000295
0.0008,0.000297
0.0009,0.000299
0.001,0.000301
0.0011,0.000303
0.0012,0.000305
0.0013,0.000307
0.0014,0.000309
0.0015,0.000311
0.0016,0.000312
0.0017,0.000314
0.0018,0.000315
0.0019,0.000317
0.002,0.000318
0.0021,0.00032
0.0022,0.000321
0.0023,0.000322
0.0024,0.000324
0.0025,0.000325
0.0026,0.000326
0.0027,0.000328
0.0028,0.000329
0.0029,0.00033
0.003,0.000331
0.0031,0.000332
0.0032,0.000333
0.0033,0.000334
0.0034,0.000336
0.0035,0.000337
0.0036,0.000337
0.0037,0.000338
0.0038,0.000339
0.0039,0.00034
0.004,0.000341
0.0041,0.000342
0.0042,0.000343
0.0043,0.000344
0.0044,0.000345
0.0045,0.000346
0.0046,0.000347
0.0047,0.000347
0.0048,0.000348
0.0049,0.000349
0.005,0.00035
0.0051,0.000351
0.0052,0.000352
0.0053,0.000353
0.0054,0.000353
0.0055,0.000354
0.0056,0.000355
0.0057,0.000356
0.0058,0.000357
0.0059,0.000357
0.006,0.000358
0.0061,0.000359
0.0062,0.00036
0.0063,0.000361
0.0064,0.000361
0.0065,0.000362
0.0066,0.000363
0.0067,0.000364
0.0068,0.000364
0.0069,0.000365
0.007,0.000366
0.0071,0.000367
0.0072,0.000367
0.0073,0.000368
0.0074,0.000369
0.0075,0.00037
0.0076,0.00037
0.0077,0.000371
0.0078,0.000372
0.0079,0.000372
0.008,0.000373
0.0081,0.000374
0.0082,0.000375
0.0083,0.000375
0.0084,0.000376
0.0085,0.000377
0.0086,0.000377
0.0087,0.000378
0.0088,0.000379
0.0089,0.000379
0.009,0.00038
0.0091,0.000381
0.0092,0.000381
0.0093,0.000382
0.0094,0.000382
0.0095,0.000383
0.0096,0.000384
0.0097,0.000384
0.0098,0.000385
0.0099,0.000386
0.01,0.000386
0.02,0.000441
0.03,0.000487
0.04,0.000529
0.05,0.000569
0.06,0.000608
0.07,0.000646
0.08,0.000683
0.09,0.00072
0.1,0.000756
0.11,0.000793
0.12,0.000828
0.13,0.000863
0.14,0.000898
0.15,0.000933
0.16,0.000967
0.17,0.001001
0.18,0.001036
0.19,0.001069
0.2,0.001102
0.21,0.001135
0.22,0.001168
0.23,0.001202
0.24,0.001235
0.25,0.001269
0.26,0.001305
0.27,0.001341
0.28,0.001378
0.29,0.001417
0.3,0.001459
0.31,0.001503
0.32,0.001551
0.33,0.001603
0.34,0.001658
0.35,0.001719
0.36,0.001785
0.37,0.001861
0.38,0.00195
0.39,0.002057
0.4,0.002201
0.41,0.002427
0.42,0.002841
0.43,0.003719
0.44,0.005703
0.45,0.007811
0.46,0.014231
0.47,0.032895
0.48,0.056063
0.49,0.081855
0.5,0.109375
0.51,0.138495
0.52,0.168831
0.53,0.199935
0.54,0.230015
0.55,0.260991
0.56,0.291327
0.57,0.321023
0.58,0.349183
0.59,0.378623
0.6,0.407295
0.61,0.435967
0.62,0.464639
0.63,0.494335
0.64,0.525823
0.65,0.557055
0.66,0.588799
0.67,0.622591
0.68,0.657407
0.69,0.692735
0.7,0.727551
0.71,0.762367
0.72,0.798207
0.73,0.833023
0.74,0.867839
0.75,0.900607
0.76,0.931839
0.77,0.963583
0.78,0.997375
0.79,1.03373
0.8,1.0711
0.81,1.10899
0.82,1.14995
0.83,1.19296
0.84,1.23802
0.85,1.28717
0.86,1.34144
0.87,1.40595
0.88,1.47558
0.89,1.55136
0.9,1.64864
0.91,1.7664
0.92,1.90157
0.93,2.05926
0.94,2.20569
0.95,2.34701
0.96,2.53542
0.97,2.83033
0.98,3.1744
0.99,3.85433
0.9901,3.86253
0.9902,3.86867
0.9903,3.87686
0.9904,3.88301
0.9905,3.8912
0.9906,3.89939
0.9907,3.90758
0.9908,3.91987
0.9909,3.92806
0.991,3.9383
0.9911,3.94854
0.9912,3.95674
0.9913,3.96698
0.9914,3.97312
0.9915,3.98131
0.9916,3.99155
0.9917,3.99974
0.9918,4.00998
0.9919,4.02022
0.992,4.02841
0.9921,4.03866
0.9922,4.04685
0.9923,4.05709
0.9924,4.06528
0.9925,4.07552
0.9926,4.08371
0.9927,4.096
0.9928,4.10624
0.9929,4.11853
0.993,4.13286
0.9931,4.14515
0.9932,4.15949
0.9933,4.17587
0.9934,4.18816
0.9935,4.20249
0.9936,4.21478
0.9937,4.23117
0.9938,4.24345
0.9939,4.25984
0.994,4.27213
0.9941,4.29261
0.9942,4.32128
0.9943,4.34586
0.9944,4.37043
0.9945,4.39091
0.9946,4.4073
0.9947,4.41958
0.9948,4.43597
0.9949,4.44825
0.995,4.46464
0.9951,4.48921
0.9952,4.5056
0.9953,4.52198
0.9954,4.53837
0.9955,4.55065
0.9956,4.56294
0.9957,4.57113
0.9958,4.58752
0.9959,4.59981
0.996,4.6121
0.9961,4.62848
0.9962,4.64077
0.9963,4.65715
0.9964,4.67354
0.9965,4.68992
0.9966,4.7063
0.9967,4.73088
0.9968,4.75546
0.9969,4.77593
0.997,4.79232
0.9971,4.8128
0.9972,4.83737
0.9973,4.86605
0.9974,4.88653
0.9975,4.90291
0.9976,4.92339
0.9977,4.94387
0.9978,4.96845
0.9979,4.99712
0.998,5.02989
0.9981,5.05856
0.9982,5.09542
0.9983,5.14048
0.9984,5.18963
0.9985,5.25107
0.9986,5.29613
0.9987,5.35347
0.9988,5.40262
0.9989,5.44358
0.999,5.51321
0.9991,5.58694
0.9992,5.64019
0.9993,5.67296
0.9994,5.76717
0.9995,5.94739
0.9996,6.11123
0.9997,6.23821
0.9998,6.82393
0.9999,7.31136
