"Rate[rps]","min [msec]","median [msec]","max [msec]"
10000,0.304,1.099,4.324
20000,0.291,1.086,4.364
30000,0.258,1.13,4.836
40000,0.262,1.062,3.394
50000,0.255,1.093,3.824
60000,0.25,1.057,3.784
70000,0.236,1.08,3.946
80000,0.225,1.002,11.328
90000,0.239,1.099,993.28
100000,0.228,1.067,993.792
110000,0.233,1.104,1218.56
120000,0.241,1.132,1188.86
130000,0.233,1.157,1698.82
140000,0.231,1.223,1026.05
150000,0.239,1.194,1097.73
160000,0.257,1.321,1215.49
170000,0.248,1.5,1207.3
180000,0.264,2.623,1034.75
190000,3.388,171.007,2070.53
200000,369.92,1193.98,3307.52
