"Rate[rps]","min [msec]","median [msec]","max [msec]"
10000,0.355,1.18,3.312
20000,0.301,1.166,4.504
30000,0.328,1.349,7.312
40000,0.278,1.24,7.752
50000,0.285,1.357,70.464
60000,0.265,1.276,31.456
70000,0.27,1.347,38.208
80000,0.289,1.393,209.28
90000,0.289,2.111,476.16
100000,0.288,38.623,4538.37
110000,0.302,1053.69,9379.84
120000,0.294,2482.18,12271.6
130000,0.324,3753.98,13402.1
140000,0.377,4751.36,13598.7
150000,0.392,5824.51,15835.1
160000,0.44,6492.16,15269.9
170000,253.056,7258.11,15605.8
180000,1121.28,8024.06,16506.9
190000,1887.23,8527.87,17317.9
200000,1971.2,9306.11,17662
