"Percentile","Latency [msec]"
0.0001,0.000515
0.0002,0.000582
0.0003,0.000639
0.0004,0.00068
0.0005,0.000718
0.0006,0.000755
0.0007,0.000786
0.0008,0.000816
0.0009,0.000843
0.001,0.000869
0.0011,0.000896
0.0012,0.000924
0.0013,0.000946
0.0014,0.000969
0.0015,0.000988
0.0016,0.001009
0.0017,0.001029
0.0018,0.001048
0.0019,0.001067
0.002,0.001086
0.0021,0.001103
0.0022,0.001121
0.0023,0.001136
0.0024,0.001156
0.0025,0.001176
0.0026,0.001192
0.0027,0.001208
0.0028,0.001226
0.0029,0.001243
0.003,0.001259
0.0031,0.001276
0.0032,0.00129
0.0033,0.001306
0.0034,0.001323
0.0035,0.001339
0.0036,0.001354
0.0037,0.00137
0.0038,0.001385
0.0039,0.001401
0.004,0.001417
0.0041,0.00143
0.0042,0.001445
0.0043,0.00146
0.0044,0.001477
0.0045,0.001493
0.0046,0.001508
0.0047,0.001524
0.0048,0.001538
0.0049,0.001555
0.005,0.001573
0.0051,0.001589
0.0052,0.001604
0.0053,0.00162
0.0054,0.001635
0.0055,0.001651
0.0056,0.001668
0.0057,0.001685
0.0058,0.001701
0.0059,0.001716
0.006,0.001732
0.0061,0.00175
0.0062,0.001768
0.0063,0.001784
0.0064,0.001799
0.0065,0.001819
0.0066,0.001837
0.0067,0.001855
0.0068,0.001874
0.0069,0.001891
0.007,0.00191
0.0071,0.001928
0.0072,0.001946
0.0073,0.001965
0.0074,0.001988
0.0075,0.002006
0.0076,0.002024
0.0077,0.002044
0.0078,0.002063
0.0079,0.002083
0.008,0.002105
0.0081,0.002127
0.0082,0.002151
0.0083,0.002173
0.0084,0.002197
0.0085,0.002219
0.0086,0.002243
0.0087,0.002269
0.0088,0.002295
0.0089,0.002321
0.009,0.002349
0.0091,0.002375
0.0092,0.002405
0.0093,0.002431
0.0094,0.002459
0.0095,0.002491
0.0096,0.002515
0.0097,0.002547
0.0098,0.002577
0.0099,0.002605
0.01,0.002637
0.02,0.044511
0.03,0.229503
0.04,0.371711
0.05,0.490751
0.06,0.596479
0.07,0.697855
0.08,0.803327
0.09,0.905727
0.1,1.00147
0.11,1.09568
0.12,1.18681
0.13,1.27181
0.14,1.35373
0.15,1.43565
0.16,1.51347
0.17,1.59129
0.18,1.6681
0.19,1.74387
0.2,1.81965
0.21,1.89747
0.22,1.97325
0.23,2.04493
0.24,2.11558
0.25,2.18521
0.26,2.25075
0.27,2.31424
0.28,2.37773
0.29,2.44122
0.3,2.50265
0.31,2.5641
0.32,2.62349
0.33,2.68493
0.34,2.74227
0.35,2.80166
0.36,2.86105
0.37,2.9184
0.38,2.97574
0.39,3.03309
0.4,3.09043
0.41,3.14982
0.42,3.20921
0.43,3.27066
0.44,3.33005
0.45,3.38739
0.46,3.44678
0.47,3.50413
0.48,3.56557
0.49,3.62496
0.5,3.6864
0.51,3.74579
0.52,3.80723
0.53,3.86867
0.54,3.93011
0.55,3.9895
0.56,4.05094
0.57,4.11238
0.58,4.17382
0.59,4.23936
0.6,4.3049
0.61,4.37043
0.62,4.43597
0.63,4.5015
0.64,4.57113
0.65,4.64486
0.66,4.71859
0.67,4.79232
0.68,4.87014
0.69,4.94797
0.7,5.02989
0.71,5.12
0.72,5.20601
0.73,5.30022
0.74,5.39034
0.75,5.48454
0.76,5.57875
0.77,5.67706
