"Rate[rps]","min [msec]","median [msec]","max [msec]"
10000,0.337,1.195,3.034
20000,0.305,1.209,6.012
30000,0.311,1.501,25.408
40000,0.294,1.836,55.968
50000,0.291,2.305,68.16
60000,0.277,3.873,1110.02
70000,0.28,7.543,3061.76
80000,0.306,441.343,10084.4
90000,0.327,1494.02,13746.2
100000,0.351,2826.24,12869.6
110000,0.678,4263.94,12181.5
120000,807.936,5791.74,13525
130000,1526.78,6610.94,14475.3
140000,2129.92,7696.38,15220.7
150000,2799.62,8351.74,22822.9
160000,3325.95,9232.38,16556
170000,3672.06,9699.33,22396.9
180000,4345.86,10338.3,23806
190000,4718.59,10985.5,18382.8
200000,4608,11305,24412.2
