"Percentile","Latency [msec]"
0.0001,0.000352
0.0002,0.000361
0.0003,0.000367
0.0004,0.000371
0.0005,0.000375
0.0006,0.000379
0.0007,0.000382
0.0008,0.000384
0.0009,0.000386
0.001,0.000388
0.0011,0.00039
0.0012,0.000393
0.0013,0.000395
0.0014,0.000396
0.0015,0.000398
0.0016,0.000399
0.0017,0.000401
0.0018,0.000402
0.0019,0.000403
0.002,0.000405
0.0021,0.000406
0.0022,0.000407
0.0023,0.000409
0.0024,0.00041
0.0025,0.000411
0.0026,0.000412
0.0027,0.000413
0.0028,0.000414
0.0029,0.000415
0.003,0.000417
0.0031,0.000417
0.0032,0.000418
0.0033,0.000419
0.0034,0.00042
0.0035,0.000421
0.0036,0.000422
0.0037,0.000423
0.0038,0.000424
0.0039,0.000425
0.004,0.000426
0.0041,0.000427
0.0042,0.000428
0.0043,0.000428
0.0044,0.000429
0.0045,0.00043
0.0046,0.000431
0.0047,0.000431
0.0048,0.000432
0.0049,0.000433
0.005,0.000434
0.0051,0.000434
0.0052,0.000435
0.0053,0.000436
0.0054,0.000437
0.0055,0.000437
0.0056,0.000438
0.0057,0.000438
0.0058,0.000439
0.0059,0.00044
0.006,0.00044
0.0061,0.000441
0.0062,0.000442
0.0063,0.000443
0.0064,0.000443
0.0065,0.000444
0.0066,0.000444
0.0067,0.000445
0.0068,0.000446
0.0069,0.000446
0.007,0.000447
0.0071,0.000448
0.0072,0.000448
0.0073,0.000449
0.0074,0.000449
0.0075,0.00045
0.0076,0.00045
0.0077,0.000451
0.0078,0.000451
0.0079,0.000452
0.008,0.000453
0.0081,0.000453
0.0082,0.000454
0.0083,0.000454
0.0084,0.000455
0.0085,0.000455
0.0086,0.000455
0.0087,0.000456
0.0088,0.000456
0.0089,0.000457
0.009,0.000457
0.0091,0.000458
0.0092,0.000459
0.0093,0.000459
0.0094,0.00046
0.0095,0.00046
0.0096,0.000461
0.0097,0.000461
0.0098,0.000462
0.0099,0.000462
0.01,0.000462
0.02,0.000501
0.03,0.000531
0.04,0.000556
0.05,0.000579
0.06,0.000599
0.07,0.000619
0.08,0.000637
0.09,0.000654
0.1,0.000671
0.11,0.000687
0.12,0.000702
0.13,0.000717
0.14,0.000731
0.15,0.000745
0.16,0.000758
0.17,0.000771
0.18,0.000784
0.19,0.000797
0.2,0.000809
0.21,0.000821
0.22,0.000834
0.23,0.000846
0.24,0.000858
0.25,0.00087
0.26,0.000882
0.27,0.000894
0.28,0.000906
0.29,0.000918
0.3,0.00093
0.31,0.000941
0.32,0.000953
0.33,0.000965
0.34,0.000977
0.35,0.000988
0.36,0.001
0.37,0.001012
0.38,0.001024
0.39,0.001035
0.4,0.001047
0.41,0.001059
0.42,0.001071
0.43,0.001082
0.44,0.001094
0.45,0.001106
0.46,0.001118
0.47,0.00113
0.48,0.001142
0.49,0.001154
0.5,0.001166
0.51,0.001178
0.52,0.001191
0.53,0.001203
0.54,0.001215
0.55,0.001228
0.56,0.00124
0.57,0.001252
0.58,0.001264
0.59,0.001277
0.6,0.001289
0.61,0.001302
0.62,0.001314
0.63,0.001326
0.64,0.001338
0.65,0.00135
0.66,0.001363
0.67,0.001375
0.68,0.001388
0.69,0.001401
0.7,0.001414
0.71,0.001427
0.72,0.00144
0.73,0.001453
0.74,0.001466
0.75,0.00148
0.76,0.001495
0.77,0.001509
0.78,0.001525
0.79,0.001541
0.8,0.001558
0.81,0.001576
0.82,0.001595
0.83,0.001615
0.84,0.001636
0.85,0.001658
0.86,0.001682
0.87,0.001706
0.88,0.001734
0.89,0.001763
0.9,0.001795
0.91,0.001829
0.92,0.001867
0.93,0.001907
0.94,0.001952
0.95,0.002004
0.96,0.002063
0.97,0.002137
0.98,0.002233
0.99,0.002409
0.9901,0.002411
0.9902,0.002415
0.9903,0.002417
0.9904,0.002421
0.9905,0.002423
0.9906,0.002427
0.9907,0.002429
0.9908,0.002433
0.9909,0.002437
0.991,0.002439
0.9911,0.002445
0.9912,0.002449
0.9913,0.002451
0.9914,0.002453
0.9915,0.002457
0.9916,0.002461
0.9917,0.002463
0.9918,0.002467
0.9919,0.002471
0.992,0.002475
0.9921,0.002481
0.9922,0.002483
0.9923,0.002487
0.9924,0.002491
0.9925,0.002495
0.9926,0.002499
0.9927,0.002503
0.9928,0.002507
0.9929,0.002511
0.993,0.002515
0.9931,0.002519
0.9932,0.002525
0.9933,0.002529
0.9934,0.002533
0.9935,0.002537
0.9936,0.002543
0.9937,0.002547
0.9938,0.002553
0.9939,0.002559
0.994,0.002565
0.9941,0.002571
0.9942,0.002577
0.9943,0.002583
0.9944,0.002587
0.9945,0.002593
0.9946,0.002599
0.9947,0.002605
0.9948,0.002613
0.9949,0.002619
0.995,0.002625
0.9951,0.002633
0.9952,0.002639
0.9953,0.002645
0.9954,0.002653
0.9955,0.002661
