"Rate[rps]","min [msec]","median [msec]","max [msec]"
10000,0.34,1.187,4.768
20000,0.303,1.146,5.524
30000,0.315,1.294,68.096
40000,0.293,1.182,81.152
50000,0.282,1.279,47.04
60000,0.27,1.198,117.184
70000,0.273,1.277,993.792
80000,0.281,1.243,252.032
90000,0.287,1.587,281.856
100000,0.28,2.937,999.936
110000,0.294,1229.82,10158.1
120000,0.285,2627.58,12754.9
130000,0.3,3866.62,14188.5
140000,0.341,4931.58,14573.6
150000,0.384,5758.98,16572.4
160000,0.347,6664.19,16212
170000,1.425,7241.73,16605.2
180000,1403.9,7888.9,16465.9
190000,1382.4,8667.14,18399.2
200000,1997.82,9461.76,18268.2
