"Epoch","Req/sec"
1506589919,97666.42
1506589995,97642.16
1506590070,97675.64
1506590146,97670.69
1506590221,97678.50
1506590297,97715.77
1506590372,97682.87
1506590448,97665.46
1506590524,97670.27
1506590599,97663.94
1506590675,97686.69
1506590750,97698.71
1506590826,97681.44
1506590901,97673.53
1506590977,97681.68
1506591052,97670.28
1506591128,97675.75
1506591203,97683.57
1506591279,97662.02
1506591354,97682.61
1506591430,97671.27
1506591505,97685.43
1506591581,97665.22
1506591656,97678.73
1506591732,97674.75
1506591807,97688.86
1506591883,97676.39
1506591958,97676.88
1506592034,97684.49
1506592109,97674.58
1506592185,97667.28
1506592260,97671.85
1506592336,97675.91
1506592411,97683.17
1506592486,97692.46
1506592562,97679.58
1506592637,97678.85
1506592713,97676.67
1506592788,97666.65
1506592864,97669.42
1506592939,97663.14
1506593015,97676.40
1506593090,97688.95
1506593166,97698.51
1506593241,97686.82
1506593317,97676.74
1506593392,97678.71
1506593468,97673.22
1506593543,97707.48
1506593619,97678.65
1506593694,97682.35
1506593769,97647.31
1506593845,97660.89
1506593920,97672.23
1506593996,97652.30
1506594071,97669.58
1506594146,97678.98
1506594222,97676.61
1506594297,97670.99
1506594373,97685.07
1506594448,97687.44
1506594524,97693.58
1506594599,97653.46
1506594675,97663.89
1506594750,97671.10
1506594826,97661.02
1506594901,97664.35
1506594977,97741.03
1506595052,97689.17
1506595128,97674.34
1506595203,97652.08
1506595279,97657.97
1506595354,97664.43
1506595430,97657.96
1506595505,97670.83
1506595581,97676.82
1506595657,97698.94
1506595732,97681.27
1506595807,97657.56
1506595883,97654.91
1506595958,97654.79
1506596034,97690.04
1506596109,97668.98
1506596185,97653.31
1506596260,97661.90
1506596336,97660.74
1506596412,97662.45
1506596487,97676.32
1506596563,97679.40
1506596638,97693.10
1506596713,97678.44
1506596789,97673.49
1506596864,97665.69
1506596940,97686.03
1506597015,97662.53
1506597091,97690.58
1506597166,97682.09
1506597241,97667.95
1506597317,97681.82
1506597392,97688.64
