"Rate[rps]","min [msec]","median [msec]","max [msec]"
10000,0.353,1.171,4.52
20000,0.329,1.093,5.5
30000,0.301,1.214,4.696
40000,0.306,1.087,3.842
50000,0.262,1.211,4.1
60000,0.268,1.182,4.924
70000,0.255,1.169,4.156
80000,0.257,1.079,6.308
90000,0.244,1.206,24.88
100000,0.246,1.182,5.652
110000,0.244,1.199,43.52
120000,0.248,1.203,26.48
130000,0.254,1.215,26.432
140000,0.269,1.212,15.36
150000,0.266,1.231,26.192
160000,0.286,1.145,53.856
170000,0.278,1.324,207.232
180000,0.251,1.482,394.24
190000,0.303,35.551,2383.87
200000,0.751,836.607,5517.31
