"Rate[rps]","min [msec]","median [msec]","max [msec]"
10000,0.342,1.165,2.786
20000,0.318,1.084,2.82
30000,0.302,1.201,4.14
40000,0.293,1.067,3.488
50000,0.268,1.181,4.28
60000,0.251,1.157,4.58
70000,0.24,1.156,4.62
80000,0.267,1.067,4.748
90000,0.252,1.177,4.7
100000,0.248,1.167,7.268
110000,0.254,1.176,8.912
120000,0.254,1.166,19.808
130000,0.248,1.191,6.344
140000,0.257,1.172,4.924
150000,0.265,1.192,11.04
160000,0.275,1.137,7.924
170000,0.274,1.282,7.988
180000,0.289,1.373,109.376
190000,0.382,4.407,1223.68
200000,2.656,899.583,5234.69
