"Rate[rps]","min [msec]","median [msec]","max [msec]"
10000,0.337,1.171,3.154
20000,0.312,1.099,3.314
30000,0.304,1.257,4.36
40000,0.276,1.115,5
50000,0.265,1.274,6.944
60000,0.264,1.268,21.312
70000,0.25,1.29,38.144
80000,0.261,1.209,65.504
90000,0.252,1.374,239.232
100000,0.254,1.54,755.2
110000,0.25,1.779,2306.05
120000,0.261,2.275,3461.12
130000,0.268,475.647,9633.79
140000,0.269,698.367,8896.51
150000,0.278,1603.58,13017.1
160000,0.29,2113.53,10354.7
170000,0.274,2826.24,12247
180000,0.301,3858.43,12247
190000,0.31,4358.14,11862
200000,0.604,5947.39,14762
