"Rate[rps]","min [msec]","median [msec]","max [msec]"
10000,0.317,1.118,2.642
20000,0.283,1.066,5.656
30000,0.287,1.163,4.176
40000,0.251,1.068,3.872
50000,0.255,1.176,15.144
60000,0.239,1.148,51.488
70000,0.235,1.186,40.544
80000,0.257,1.131,106.496
90000,0.248,1.347,399.36
100000,0.23,1.611,3891.2
110000,0.227,1.737,2209.79
120000,0.246,17.519,6774.78
130000,0.246,966.655,9846.78
140000,0.244,1645.57,21217.3
150000,0.243,1777.66,21823.5
160000,0.231,2516.99,23265.3
170000,0.253,3723.26,23035.9
180000,0.249,5017.6,23806
190000,0.26,5533.69,27000.8
200000,0.246,5578.75,25296.9
