"Rate[rps]","min [msec]","median [msec]","max [msec]"
10000,0.32,1.128,2.928
20000,0.289,1.068,3.724
30000,0.293,1.151,4.564
40000,0.262,1.049,3.746
50000,0.254,1.123,3.278
60000,0.244,1.082,6.032
70000,0.239,1.108,6.048
80000,0.237,0.978,4.688
90000,0.245,1.159,5.184
100000,0.237,1.147,4.784
110000,0.241,1.188,5.764
120000,0.242,1.233,10.512
130000,0.234,1.261,21.28
140000,0.24,1.321,12.64
150000,0.249,1.378,230.016
160000,0.241,1.325,316.928
170000,0.253,1.482,1056.77
180000,0.255,1.939,2117.63
190000,0.272,196.351,5152.77
200000,0.284,729.599,6422.53
