"Percentile","Latency [msec]"
0.0001,0.000312
0.0002,0.000327
0.0003,0.000337
0.0004,0.000347
0.0005,0.000355
0.0006,0.000362
0.0007,0.000368
0.0008,0.000374
0.0009,0.000379
0.001,0.000383
0.0011,0.000388
0.0012,0.000392
0.0013,0.000396
0.0014,0.0004
0.0015,0.000404
0.0016,0.000408
0.0017,0.000411
0.0018,0.000415
0.0019,0.000418
0.002,0.000422
0.0021,0.000425
0.0022,0.000428
0.0023,0.000431
0.0024,0.000434
0.0025,0.000437
0.0026,0.00044
0.0027,0.000443
0.0028,0.000446
0.0029,0.000448
0.003,0.000451
0.0031,0.000454
0.0032,0.000456
0.0033,0.000459
0.0034,0.000461
0.0035,0.000464
0.0036,0.000466
0.0037,0.000468
0.0038,0.000471
0.0039,0.000473
0.004,0.000475
0.0041,0.000478
0.0042,0.00048
0.0043,0.000482
0.0044,0.000485
0.0045,0.000487
0.0046,0.000489
0.0047,0.000491
0.0048,0.000493
0.0049,0.000496
0.005,0.000498
0.0051,0.0005
0.0052,0.000502
0.0053,0.000504
0.0054,0.000507
0.0055,0.000509
0.0056,0.000511
0.0057,0.000513
0.0058,0.000515
0.0059,0.000517
0.006,0.000519
0.0061,0.000521
0.0062,0.000523
0.0063,0.000525
0.0064,0.000527
0.0065,0.000528
0.0066,0.00053
0.0067,0.000532
0.0068,0.000534
0.0069,0.000535
0.007,0.000537
0.0071,0.000539
0.0072,0.000541
0.0073,0.000543
0.0074,0.000545
0.0075,0.000547
0.0076,0.000548
0.0077,0.00055
0.0078,0.000552
0.0079,0.000553
0.008,0.000555
0.0081,0.000557
0.0082,0.000559
0.0083,0.000561
0.0084,0.000562
0.0085,0.000564
0.0086,0.000566
0.0087,0.000568
0.0088,0.00057
0.0089,0.000571
0.009,0.000573
0.0091,0.000574
0.0092,0.000576
0.0093,0.000578
0.0094,0.000579
0.0095,0.000581
0.0096,0.000583
0.0097,0.000584
0.0098,0.000586
0.0099,0.000587
0.01,0.000589
0.02,0.00073
0.03,0.000851
0.04,0.000962
0.05,0.00107
0.06,0.001178
0.07,0.001288
0.08,0.001413
0.09,0.001567
0.1,0.001805
0.11,0.002565
0.12,0.047679
0.13,0.150271
0.14,0.256639
0.15,0.357887
0.16,0.458495
0.17,0.565759
0.18,0.677887
0.19,0.785919
0.2,0.882175
0.21,0.975871
0.22,1.06394
0.23,1.14586
0.24,1.23085
0.25,1.32198
0.26,1.41107
0.27,1.49914
0.28,1.59846
0.29,1.70189
0.3,1.80531
0.31,1.90771
0.32,2.00909
0.33,2.10944
0.34,2.2016
0.35,2.29376
0.36,2.38387
0.37,2.47194
0.38,2.56
0.39,2.65421
0.4,2.75046
0.41,2.84672
0.42,2.94502
0.43,3.04128
0.44,3.13958
0.45,3.23379
0.46,3.33005
0.47,3.42835
0.48,3.52665
0.49,3.62496
0.5,3.72326
0.51,3.82157
0.52,3.91987
0.53,4.02022
0.54,4.12057
0.55,4.21888
0.56,4.32128
0.57,4.41958
0.58,4.51789
0.59,4.62029
0.6,4.72269
0.61,4.82918
0.62,4.93978
0.63,5.05446
0.64,5.17325
0.65,5.29613
0.66,5.4231
0.67,5.54598
0.68,5.67296
0.69,5.79174
0.7,5.92281
0.71,6.05389
0.72,6.20134
0.73,6.35699
0.74,6.52083
0.75,6.69286
0.76,6.86899
0.77,7.04512
0.78,7.22944
0.79,7.43014
0.8,7.63904
0.81,7.84793
0.82,8.06912
0.83,8.2985
0.84,8.53606
0.85,8.79821
0.86,9.08493
0.87,9.39622
0.88,9.75667
0.89,10.1499
0.9,10.6168
0.91,11.0674
0.92,11.5507
0.93,12.0586
0.94,12.7304
0.95,13.3693
0.96,14.1476
0.97,14.9586
0.98,15.8679
0.99,17.1868
0.9901,17.2032
0.9902,17.2196
0.9903,17.236
0.9904,17.2524
0.9905,17.2851
0.9906,17.3015
0.9907,17.3179
0.9908,17.3343
0.9909,17.3507
