"Rate[rps]","min [msec]","median [msec]","max [msec]"
10000,0.319,1.105,3.964
20000,0.283,1.073,4.408
30000,0.29,1.138,5.932
40000,0.26,1.069,4.32
50000,0.257,1.113,4.42
60000,0.242,1.071,4.708
70000,0.234,1.094,4.832
80000,0.239,1.001,4.06
90000,0.236,1.16,3.78
100000,0.242,1.145,4.38
110000,0.238,1.186,5.024
120000,0.243,1.21,3.888
130000,0.239,1.272,4.32
140000,0.246,1.293,5.628
150000,0.238,1.322,135.68
160000,0.256,1.229,6.86
170000,0.244,1.409,996.864
180000,0.275,1.531,206.464
190000,0.316,3.137,1004.54
200000,2.828,838.143,4517.89
