"Rate[rps]","min [msec]","median [msec]","max [msec]"
10000,0.359,1.159,4.368
20000,0.314,1.091,3.758
30000,0.293,1.204,3.606
40000,0.293,1.069,4.032
50000,0.264,1.176,4.392
60000,0.268,1.153,4.836
70000,0.266,1.155,3.906
80000,0.25,1.061,5.992
90000,0.256,1.184,5.728
100000,0.248,1.159,4.896
110000,0.255,1.339,7208.96
120000,0.262,1.166,23.648
130000,0.253,1.192,38.176
140000,0.271,1.187,7.376
150000,0.263,1.196,6.484
160000,0.277,1.143,13.024
170000,0.281,1.299,14.28
180000,0.299,1.394,42.112
190000,1.458,4.319,1509.38
200000,3.008,912.383,4481.02
