"Rate[rps]","min [msec]","median [msec]","max [msec]"
10000,0.303,1.129,4.062
20000,0.262,1.068,4.844
30000,0.284,1.302,7.268
40000,0.264,1.396,21.552
50000,0.251,1.717,49.632
60000,0.258,2.113,112.896
70000,0.249,3.153,1001.98
80000,0.262,5.511,3162.11
90000,0.283,8.991,2455.55
100000,0.311,346.879,8437.76
110000,0.444,1776.64,9601.02
120000,2.52,3323.9,9584.64
130000,296.448,4468.73,13082.6
140000,0.434,5689.34,13328.4
150000,2338.82,6803.45,19775.5
160000,2945.02,7475.2,18710.5
170000,3143.68,8245.25,20971.5
180000,3303.42,8601.6,21528.6
190000,3917.82,9289.73,22757.4
200000,3995.65,9977.85,22593.5
