"Rate[rps]","min [msec]","median [msec]","max [msec]"
10000,0.327,1.115,4.512
20000,0.287,1.063,3.242
30000,0.291,1.14,3.74
40000,0.288,1.068,5.264
50000,0.26,1.118,4.932
60000,0.245,1.076,3.996
70000,0.249,1.093,4.688
80000,0.237,0.983,5.156
90000,0.241,1.163,7.728
100000,0.232,1.153,5.924
110000,0.245,1.18,5.692
120000,0.235,1.214,7.036
130000,0.248,1.269,6.084
140000,0.234,1.272,6.888
150000,0.245,1.309,7.54
160000,0.269,1.238,202.752
170000,0.259,1.425,8.192
180000,0.271,1.449,204.16
190000,0.341,4.403,1849.34
200000,2.7,860.671,4587.52
