"Percentile","Latency [msec]"
0.01,0.4
0.02,0.493
0.03,0.571
0.04,0.657
0.05,0.746
0.06,0.824
0.07,0.896
0.08,0.969
0.09,1.049
0.1,1.139
0.11,1.24
0.12,1.344
0.13,1.497
0.14,1.739
0.15,2.026
0.16,2.34
0.17,2.576
0.18,2.793
0.19,3.022
0.2,3.229
0.21,3.383
0.22,3.634
0.23,4.039
0.24,4.487
0.25,4.762
0.26,4.987
0.27,5.065
0.28,5.107
0.29,5.135
0.3,5.158
0.31,5.179
0.32,5.198
0.33,5.217
0.34,5.237
0.35,5.258
0.36,5.28
0.37,5.301
0.38,5.322
0.39,5.341
0.4,5.357
0.41,5.371
0.42,5.383
0.43,5.394
0.44,5.404
0.45,5.413
0.46,5.422
0.47,5.43
0.48,5.438
0.49,5.445
0.5,5.452
0.51,5.459
0.52,5.466
0.53,5.473
0.54,5.48
0.55,5.487
0.56,5.493
0.57,5.5
0.58,5.507
0.59,5.513
0.6,5.52
0.61,5.527
0.62,5.535
0.63,5.542
0.64,5.55
0.65,5.559
0.66,5.568
0.67,5.579
0.68,5.591
0.69,5.605
0.7,5.622
0.71,5.646
0.72,5.685
0.73,5.913
0.74,6.909
0.75,22.788
0.76,43.949
0.77,65.438
0.78,87.394
0.79,110.065
0.8,133.176
0.81,156.52
0.82,179.986
0.83,203.722
0.84,227.64
0.85,251.921
0.86,276.857
0.87,302.618
0.88,328.748
0.89,355.577
0.9,383.147
0.91,411.431
0.92,440.249
0.93,469.569
0.94,499.527
0.95,530.18
0.96,561.657
0.97,593.987
0.98,627.084
0.99,662.481
