"Percentile","Latency [msec]"
0.01,0.27
0.02,0.28
0.03,0.287
0.04,0.294
0.05,0.299
0.06,0.305
0.07,0.31
0.08,0.315
0.09,0.321
0.1,0.326
0.11,0.332
0.12,0.338
0.13,0.345
0.14,0.352
0.15,0.36
0.16,0.369
0.17,0.379
0.18,0.39
0.19,0.401
0.2,0.415
0.21,0.429
0.22,0.445
0.23,0.463
0.24,0.482
0.25,0.503
0.26,0.527
0.27,0.554
0.28,0.584
0.29,0.619
0.3,0.657
0.31,0.702
0.32,0.753
0.33,0.813
0.34,0.88
0.35,0.956
0.36,1.045
0.37,1.15
0.38,1.272
0.39,1.408
0.4,1.563
0.41,1.741
0.42,1.935
0.43,2.134
0.44,2.355
0.45,2.602
0.46,2.891
0.47,3.211
0.48,3.538
0.49,3.879
0.5,4.292
0.51,4.725
0.52,5.166
0.53,5.376
0.54,5.589
0.55,5.816
0.56,6.047
0.57,6.277
0.58,6.506
0.59,6.729
0.6,6.966
0.61,7.224
0.62,7.507
0.63,7.792
0.64,8.068
0.65,8.314
0.66,8.525
0.67,8.712
0.68,8.896
0.69,9.08
0.7,9.273
0.71,9.485
0.72,9.731
0.73,10.026
0.74,10.348
0.75,10.701
0.76,11.087
0.77,11.473
0.78,11.841
0.79,12.241
0.8,12.827
0.81,13.63
0.82,14.569
0.83,17.625
0.84,47.11
0.85,85.782
0.86,128.949
0.87,175.475
0.88,226.14
0.89,284.63
0.9,348.414
0.91,418.539
0.92,494.811
0.93,575.144
0.94,660.857
0.95,752.513
0.96,848.048
0.97,952.047
0.98,1072.51
0.99,1230.47
