"# of pods","Req/sec"
1,18906.00
2,39474.43
4,37615.37
6,75973.94
8,120811.37
10,135167.67
12,126825.16
14,127618.90
16,135039.20
18,136611.05
20,136492.61
25,137988.79
30,139303.63
35,138866.81
40,138951.00
1,18732.92
2,39425.87
4,39095.51
6,115244.51
8,125572.33
10,140467.91
12,126712.25
14,130242.95
16,136012.58
18,136230.17
20,137001.05
25,136638.36
30,137566.37
35,139017.21
40,138477.63
1,18954.87
2,39566.18
4,79507.33
6,115667.69
8,128078.37
10,137560.90
12,124167.05
14,130485.03
16,136333.11
18,136317.27
20,137621.46
25,136587.21
30,138936.18
35,138413.01
40,136619.41
1,5260.24
2,39316.78
4,78575.14
6,114259.08
8,126811.55
10,131760.79
12,128867.01
14,130958.97
16,136233.11
18,136563.05
20,137013.30
25,137754.40
30,138400.94
35,139179.10
40,135014.85
1,18793.79
2,39452.01
4,78164.13
6,114131.33
8,131622.89
10,131376.76
12,128031.90
14,131445.87
16,135071.83
18,136364.14
20,136914.12
25,136780.48
30,138138.13
35,139272.36
40,135067.02
1,19072.01
2,39543.76
4,78183.54
6,111678.97
8,133624.78
10,129509.19
12,128352.79
14,131416.09
16,136003.20
18,135986.70
20,137745.74
25,137879.59
30,137199.07
35,139237.21
40,135178.43
1,19215.98
2,39587.27
4,77286.04
6,112817.58
8,135027.54
10,127689.82
12,130120.66
14,131349.31
16,135036.97
18,136743.16
20,136617.29
25,137995.15
30,137329.74
35,138192.02
40,135167.71
1,4621.02
2,39777.86
4,78184.73
6,112825.08
8,133741.79
10,126753.49
12,129092.97
14,131946.77
16,134993.51
18,136179.65
20,136270.28
25,138333.43
30,138122.31
35,139184.87
40,134227.28
1,19435.80
2,39190.89
4,77727.65
6,114387.22
8,135888.10
10,122016.90
12,130825.49
14,131199.41
16,135298.96
18,135722.19
20,136012.43
25,137647.12
30,137758.62
35,138678.01
40,134852.45
1,19317.79
2,39455.99
4,78010.65
6,113146.76
8,134136.50
10,124116.06
12,129974.52
14,133190.06
16,136417.75
18,134836.63
20,137334.66
25,137214.18
30,138221.06
35,137652.70
40,136522.60
1,19238.51
2,38924.18
4,77785.16
6,113985.24
8,135426.62
10,127587.99
12,125649.51
14,134935.70
16,136461.62
18,135388.73
20,136524.87
25,137262.58
30,139176.26
35,138234.28
40,134984.20
1,3792.25
2,39467.82
4,78722.02
6,113936.70
8,130570.77
10,127918.98
12,123513.64
14,135368.29
16,135425.47
18,135808.39
20,135408.79
25,137439.63
30,137839.45
35,137607.85
40,135465.68
1,19384.85
2,39359.50
4,77575.90
6,110628.68
8,128714.76
10,128989.42
12,127388.00
14,136010.42
16,135331.00
18,136641.59
20,135628.43
25,137211.75
30,138836.21
35,138845.21
40,135908.09
1,19045.92
2,39483.08
4,78277.70
6,111637.10
8,129366.14
10,128897.59
12,128733.08
14,134678.24
16,135957.37
18,135400.16
20,134964.59
25,136897.02
30,137623.67
35,137670.98
40,134806.39
1,15679.00
2,39374.55
4,78225.63
6,112473.99
8,130707.80
10,127696.56
12,128209.80
14,135284.02
16,135469.65
18,136063.96
20,135580.07
25,137507.71
30,138443.19
35,139099.85
40,135125.27
1,8123.79
2,39727.24
4,77206.38
6,113613.07
8,133491.92
10,129811.17
12,128833.92
14,135785.71
16,135433.41
18,136231.99
20,136337.04
25,137289.22
30,138024.60
35,138453.82
40,134100.77
1,19309.98
2,39534.91
4,78069.90
6,111838.08
8,133231.93
10,128584.78
12,127852.85
14,134599.08
16,135588.30
18,135323.78
20,135699.17
25,138710.51
30,137017.08
35,138298.70
40,134620.92
1,19326.62
2,39107.73
4,78338.55
6,111602.55
8,129274.14
10,130236.90
12,128460.25
14,135025.91
16,135684.43
18,135564.27
20,136189.16
25,138738.24
30,138479.71
35,137767.97
40,134744.54
1,18982.62
2,39567.35
4,79356.78
6,112211.90
8,131629.71
10,128984.40
12,128263.09
14,134154.59
16,135887.42
18,135473.48
20,135158.05
25,138150.84
30,138076.11
35,137856.28
40,134913.91
1,4325.13
2,39158.87
4,79126.70
6,113586.29
8,130967.78
10,129118.98
12,130437.65
14,134830.76
16,136610.63
18,137263.52
20,136168.83
25,139353.44
30,137742.53
35,138296.81
40,135417.99
