1 14905.76
2 28036.07
4 55866.46
6 77937.50
12 98726.79
14,Requests/sec: 101800.86
16,Requests/sec: 100834.60
18,Requests/sec: 101408.29
20,Requests/sec: 102597.07
25,Requests/sec: 102273.31
30,Requests/sec: 102257.01
35,Requests/sec: 102005.88
40,Requests/sec: 101724.51
1 13937.69
6 78719.63
8 87989.23
10 93225.66
12,Requests/sec: 101232.54
14,Requests/sec: 102013.69
16,Requests/sec: 100196.70
18 99316.13
20,Requests/sec: 102335.03
25,Requests/sec: 101190.52
30,Requests/sec: 100580.95
35,Requests/sec: 153388.93
40,Requests/sec: 102130.06
1 12185.34
2 28823.50
4 55226.79
6 78125.52
8 86197.21
10 96960.54
12,Requests/sec: 101364.55
14,Requests/sec: 102976.65
16,Requests/sec: 102492.58
18,Requests/sec: 102299.56
20,Requests/sec: 102909.20
25,Requests/sec: 101587.97
30 99974.08
35,Requests/sec: 103387.42
40,Requests/sec: 103909.22
1 13681.93
6 77763.49
8 87784.44
10 95480.11
12 98860.98
18 99215.28
20,Requests/sec: 102405.77
25,Requests/sec: 100204.35
30 98873.43
35,Requests/sec: 100865.07
40,Requests/sec: 103508.26
1 13771.70
2 28300.56
4 55919.65
6 78737.46
8 88458.36
10 95801.76
12,Requests/sec: 102032.41
14,Requests/sec: 100570.83
16 97506.00
18 94319.83
20 97683.37
25 99037.31
30 96966.46
35 96746.12
40 97649.39
1 14146.30
2 26799.49
4 57883.73
6 76053.02
8 87720.99
10 94145.20
12,Requests/sec: 101646.43
14,Requests/sec: 100478.77
16,Requests/sec: 100349.78
18 97911.72
20,Requests/sec: 102712.50
25,Requests/sec: 102738.24
30,Requests/sec: 101034.23
35,Requests/sec: 103736.62
40,Requests/sec: 100667.28
1 14017.72
2 27946.26
4 56957.67
6 77334.08
8 86784.10
10 95849.31
12 99806.14
14,Requests/sec: 101314.39
16,Requests/sec: 100680.65
18,Requests/sec: 103603.17
20,Requests/sec: 101974.54
25,Requests/sec: 101240.94
30,Requests/sec: 103225.84
35,Requests/sec: 101441.73
40,Requests/sec: 103620.56
1 14042.57
2 27396.92
4 53480.64
6 77236.55
8 86510.88
10 93457.32
12,Requests/sec: 101126.70
14,Requests/sec: 101073.75
16,Requests/sec: 101639.43
18,Requests/sec: 101179.36
20,Requests/sec: 102064.06
25,Requests/sec: 101523.35
30,Requests/sec: 102239.30
35,Requests/sec: 101215.49
40,Requests/sec: 103223.34
1 14031.17
2 29542.53
4 56229.35
6 78226.83
8 87831.89
10 93840.48
12,Requests/sec: 100321.08
14,Requests/sec: 101566.06
16 98290.33
18,Requests/sec: 101064.15
20 99417.65
35,Requests/sec: 100645.90
40,Requests/sec: 102330.10
1 14095.03
2 27301.63
4 55310.15
6 77402.73
8 86822.85
10 94593.46
12,Requests/sec: 100694.27
14,Requests/sec: 100446.48
16,Requests/sec: 100513.01
18,Requests/sec: 102674.24
20 99764.46
25,Requests/sec: 101968.02
30,Requests/sec: 102744.55
35,Requests/sec: 101993.06
40,Requests/sec: 102916.14
