"# of cpu on LB","Req/sec"
02,47345.97
02,47684.52
02,47256.76
02,45564.15
02,47820.37
02,46429.52
02,47674.26
02,46905.23
02,47898.40
02,47301.49
04,96812.47
04,95476.74
04,95469.01
04,96947.15
04,102532.87
04,96286.34
04,95727.93
04,95229.93
04,96324.45
04,95648.20
08,102597.07
08,102335.03
08,102909.20
08,102405.77
08,97683.37
08,102712.50
08,101974.54
08,102064.06
08,99417.65
08,99764.46
12,69498.67
12,69717.33
12,70776.43
12,70714.74
12,67480.33
12,69116.22
12,69510.63
12,70479.15
12,68335.94
12,69716.40
16,49515.20
16,48666.99
16,49994.09
16,51901.94
16,49537.17
16,52566.06
16,51179.43
16,50526.59
16,51650.05
16,51937.03
