1 14907.32
2 27968.21
4 55803.13
6 82622.91
8 96975.24
10 97175.35
12 97227.60
14 96610.24
16 96118.73
18 96646.88
20 96812.47
25 97414.44
30 97516.20
35 96052.90
40 96587.61
1 13990.47
2 25941.22
4 53378.66
6 84499.21
8 96574.05
10 96799.86
12 96912.31
14 96526.11
16 95771.42
18 96030.22
20 95476.74
25 95695.35
30 94969.08
1 12581.29
2 28685.22
4 55071.68
6 81616.08
8 95462.31
10 95918.72
12 96061.52
14 95837.61
16 96231.56
18 95677.85
20 95469.01
25 96088.81
30 96095.31
35 96910.36
40 95630.72
1 13537.10
2 27477.45
4 55370.16
6 81656.80
8 95476.65
10 96174.58
12 97807.31
14 96638.88
16 95685.79
18 96914.45
20 96947.15
25 96405.10
30 95596.34
35 94748.20
40 93360.30
1 13913.43
2 28058.14
4 55802.31
6 83156.70
8 82292.99
10 94634.88
12 96800.49
14,Requests/sec: 101090.06
16,Requests/sec: 100634.83
18,Requests/sec: 101604.10
20,Requests/sec: 102532.87
25,Requests/sec: 100203.36
30 98772.20
35 94963.59
40 95679.62
1 14168.15
2 27090.91
4 57496.55
6 76085.66
8 96009.42
10 94792.99
12 94780.56
14 94834.96
16 95756.12
18 95870.03
20 96286.34
25 95679.18
30 96203.82
35 96369.96
40 80164.22
1 13725.29
2 27943.95
4 56874.49
6 81040.83
8 96774.04
10 96440.25
12 96319.38
14 96392.27
16 94920.69
18 94548.97
20 95727.93
25 94237.56
30 95754.79
35 95935.69
40 94747.21
1 13903.46
2 27460.69
4 53282.91
6 67314.26
8 97896.27
10 96618.19
12 96715.80
14 96190.51
16 96672.24
18 95951.02
20 95229.93
25 96156.97
30 96207.78
35 96152.43
40 95790.06
1 13897.02
2 29602.33
4 56090.74
6 81537.58
8 96191.37
10 95502.43
12 95204.23
14 95162.75
16 95904.25
18 96789.72
20 96324.45
25 96023.58
30 95345.07
35 95544.13
40 95344.37
1 14121.94
2 27344.17
4 54866.74
6 81611.52
8 94724.05
10 96306.07
12 95650.02
14 96978.95
16 96662.44
18 95860.33
20 95648.20
25 95944.24
30 95448.95
35 95269.59
40 96137.36
