"# of cpu on LB","Req/sec"
02,15122.05
02,14118.37
02,13003.65
02,13704.28
02,13880.74
02,14303.30
02,14197.41
02,14047.99
02,14175.20
02,14193.44
04,14907.32
04,13990.47
04,12581.29
04,13537.10
04,13913.43
04,14168.15
04,13725.29
04,13903.46
04,13897.02
04,14121.94
08,14905.76
08,13937.69
08,12185.34
08,13681.93
08,13771.70
08,14146.30
08,14017.72
08,14042.57
08,14031.17
08,14095.03
12,14904.15
12,13933.08
12,12442.34
12,13505.15
12,13795.87
12,14110.63
12,13890.62
12,14020.26
12,14036.43
12,14161.60
16,14969.65
16,13859.53
16,12871.98
16,13557.46
16,13836.41
16,14212.75
16,14081.92
16,13907.48
16,13887.66
16,14156.79
