"# of cpu on LB","Req/sec"
02,48008.47
02,48000.19
02,47199.04
02,46994.22
02,45715.17
02,47945.30
02,47269.90
02,48195.40
02,47467.51
02,47788.20
04,97175.35
04,96799.86
04,95918.72
04,96174.58
04,94634.88
04,94792.99
04,96440.25
04,96618.19
04,95502.43
04,96306.07
08,93225.66
08,96960.54
08,95480.11
08,95801.76
08,94145.20
08,95849.31
08,93457.32
08,93840.48
08,94593.46
12,63861.27
12,63880.93
12,65455.55
12,65454.80
12,66995.86
12,65687.49
12,64303.05
12,63928.48
12,64247.58
12,66358.09
16,58092.38
16,55524.50
16,57335.55
16,56745.78
16,56850.27
16,58165.89
16,57619.62
16,57612.85
16,57248.59
