1 14904.15
2 28245.92
4 56075.46
6 63511.42
8 88054.76
10 63861.27
12 68524.72
14 68728.81
16 69754.50
18 70553.56
20 69498.67
25 70573.13
30 70977.70
35 67335.99
40 69413.16
1 13933.08
2 26710.05
4 53351.19
6 61752.95
8 58710.54
10 63880.93
12 67200.60
14 63507.93
16 70343.08
18 70704.87
20 69717.33
25 71276.36
30 72212.66
35 96353.55
40 72085.20
1 12442.34
2 28944.32
4 55263.36
6 63039.69
8 57187.26
10 65455.55
12 65947.61
14 68081.95
16 68598.29
18 68868.47
20 70776.43
25 70360.97
30 70846.06
35 70776.43
40 71184.54
1 13505.15
2 27712.90
4 55504.93
6 63139.68
8 58690.12
10 65454.80
12 67764.25
14 95722.68
16 69751.82
18 70929.40
20 70714.74
25 67430.53
30 69947.94
35 70426.79
40 71015.19
1 13795.87
2 28309.09
4 55795.99
6 63233.30
8 81150.92
10 66995.86
12 68710.80
14 68547.62
16 68734.89
18 66723.78
20 67480.33
25 69307.49
30 67850.39
35 67021.01
40 68328.12
1 14110.63
2 26791.31
4 58256.37
6 61213.46
8 58787.63
10 65687.49
12 68204.83
14 69431.62
16 70229.92
18 67740.98
20 69116.22
25 67782.26
30 71920.23
35 70022.01
40 70081.01
1 13890.62
2 28031.32
4 57055.24
6 63939.18
8 59096.90
10 64303.05
12 66791.94
14 70417.60
16 68818.24
18 70239.92
20 69510.63
25 69907.18
30 70446.38
35 71333.81
40 68825.36
1 14020.26
2 27556.67
4 53397.00
6 64665.54
8 57293.98
10 63928.48
12 68276.10
14 68789.37
16 71240.58
18 70959.93
20 70479.15
25 71067.88
30 71515.38
35 70661.58
40 71541.06
1 14036.43
2 29334.09
4 56319.20
6 64321.99
8 58901.13
10 64247.58
12 66776.33
14 69641.94
16 68333.69
18 68606.15
20 68335.94
25 96639.48
30 71409.83
35 71128.46
40 70584.20
1 14161.60
2 27504.88
4 55307.27
6 63868.32
8 59088.60
10 66358.09
12 69507.82
14 68341.83
16 69210.89
18 66482.62
20 69716.40
35 71144.15
40 71634.73
