"# of cpu on LB","Req/sec"
02,47171.56
02,47446.29
02,46939.87
02,45520.50
02,46929.57
02,47110.63
02,46898.70
02,46938.51
02,47622.71
02,47346.32
04,97516.20
04,94969.08
04,96095.31
04,95596.34
04,98772.20
04,96203.82
04,95754.79
04,96207.78
04,95345.07
04,95448.95
08,102257.01
08,100580.95
08,99974.08
08,98873.43
08,96966.46
08,101034.23
08,103225.84
08,102239.30
08,102744.55
12,70977.70
12,72212.66
12,70846.06
12,69947.94
12,67850.39
12,71920.23
12,70446.38
12,71515.38
12,71409.83
16,45137.66
16,47303.57
16,49693.44
16,51155.64
16,49840.74
16,52299.31
16,50339.19
16,53308.18
16,52714.21
16,50338.60
