"# of pods","Req/sec","cpu idle","siq","eth0-rx,"eth0-tx,"docker0-rx,"docker0-tx"
1,32691.05,-nan,-nan,-nan,-nan,-nan,-nan
2,65363.75,-nan,-nan,-nan,-nan,-nan,-nan
4,124825.52,-nan,-nan,-nan,-nan,-nan,-nan
6,177540.54,-nan,-nan,-nan,-nan,-nan,-nan
8,209168.12,-nan,-nan,-nan,-nan,-nan,-nan
10,240593.69,-nan,-nan,-nan,-nan,-nan,-nan
12,278214.13,-nan,-nan,-nan,-nan,-nan,-nan
14,292054.44,-nan,-nan,-nan,-nan,-nan,-nan
16,301381.62,-nan,-nan,-nan,-nan,-nan,-nan
18,302824.23,-nan,-nan,-nan,-nan,-nan,-nan
20,317613.62,-nan,-nan,-nan,-nan,-nan,-nan
25,357702.87,-nan,-nan,-nan,-nan,-nan,-nan
30,358897.18,-nan,-nan,-nan,-nan,-nan,-nan
35,369455.14,-nan,-nan,-nan,-nan,-nan,-nan
40,399746.13,-nan,-nan,-nan,-nan,-nan,-nan
45,383640.27,-nan,-nan,-nan,-nan,-nan,-nan
50,370299.18,-nan,-nan,-nan,-nan,-nan,-nan
55,374292.70,-nan,-nan,-nan,-nan,-nan,-nan
60,372615.08,-nan,-nan,-nan,-nan,-nan,-nan
