1540511192,2,1,1.5
1540511256,4,2,1.5
1540511309,3,3,1.5
1540511371,1,1,2.5
1540511437,4,1,3.5
1540511492,2,2,2.5
1540511553,1,1,1.5
1540511618,3,1,3.5
1540511673,2,2,0.5
1540511740,4,3,3.5
1540511794,3,3,1.5
1540511856,2,2,0.5
1540511916,1,1,0.5
1540511983,3,1,2.5
1540512042,4,3,2.5
1540512098,2,2,1.5
1540512159,1,1,0.5
1540512225,2,1,2.5
1540512286,4,3,3.5
1540512342,3,3,4.5
1540512405,4,3,1.5
1540512462,1,1,0.5
1540512529,2,1,1.5
1540512587,3,2,1.5
1540512644,2,2,1.5
1540512710,4,3,3.5
1540512766,3,3,1.5
1540512826,1,1,0.5
1540512891,2,1,2.5
1540512948,1,1,2.5
1540513014,4,1,3.5
1540513068,3,3,1.5
1540513134,4,3,2.5
1540513189,3,3,1.5
1540513251,2,2,1.5
1540513311,1,1,0.5
1540513379,4,2,5.5
1540513432,2,2,1.5
1540513500,3,2,1.5
1540513554,1,1,0.5
1540513621,4,1,3.5
1540513675,3,3,1.5
1540513736,2,2,1.5
1540513796,1,1,0.5
1540513864,4,1,4.5
1540513917,2,2,1.5
1540513982,3,2,2.5
1540514039,1,1,0.5
1540514105,3,1,2.5
1540514160,2,2,1.5
1540514226,4,3,3.5
1540514281,1,1,1.5
1540514348,2,1,1.5
1540514407,3,2,0.5
1540514470,4,3,2.5
1540514525,3,3,1.5
1540514586,2,2,2.5
1540514653,4,2,3.5
1540514707,1,1,2.5
1540514773,3,1,1.5
1540514831,4,3,1.5
1540514888,1,1,0.5
1540514954,2,1,1.5
1540515014,3,2,3.5
1540515076,4,3,2.5
1540515131,1,1,1.5
1540515197,2,1,1.5
1540515251,1,1,0.5
1540515318,4,1,2.5
1540515374,3,3,1.5
1540515440,4,3,2.5
1540515495,2,2,1.5
1540515556,1,1,1.5
1540515622,3,1,2.5
1540515682,4,3,0.5
1540515737,1,1,0.5
1540515802,2,1,2.5
1540515865,3,2,2.5
1540515919,1,1,2.5
1540515985,4,1,3.5
1540516039,2,2,0.5
1540516105,3,2,1.5
1540516160,1,1,0.5
1540516227,4,2,2.5
1540516281,2,2,1.5
1540516349,4,3,3.5
1540516403,1,1,1.5
1540516470,3,2,5.5
1540516524,2,2,1.5
1540516591,3,2,1.5
1540516645,1,1,0.5
1540516713,4,1,3.5
1540516767,1,1,1.5
1540516832,3,1,3.5
1540516888,2,2,1.5
