"# of pods","Req/sec","cpu idle","siq","eth0-rx,"eth0-tx,"docker0-rx,"docker0-tx"
1,31010.58,94.6639,4.7521,1.85155e+07,1.85089e+07,1.85155e+07,1.85089e+07
2,58772.47,93.4833,6.0209,3.24411e+07,32435330,3.24411e+07,32435330
4,89462.89,93.2716,6.25,4.89969e+07,4.89882e+07,4.89969e+07,4.89882e+07
6,89386.64,93.2393,6.25,48890846,4.88816e+07,48890846,4.88816e+07
8,88855.97,93.2436,6.25,4.87128e+07,4.87033e+07,4.87128e+07,4.87033e+07
10,89217.20,93.207,6.24986,4.88901e+07,4.88796e+07,4.88901e+07,4.88796e+07
12,90319.38,92.946,6.25197,4.94421e+07,4.94309e+07,4.94421e+07,4.94309e+07
14,89162.08,93.2761,6.24986,4.89065e+07,4.88959e+07,4.89065e+07,4.88959e+07
16,88979.52,93.4251,6.0833,4.73292e+07,4.73162e+07,4.73292e+07,4.73162e+07
18,89361.67,93.2241,6.25,48859307,4.88477e+07,48859307,4.88477e+07
20,88977.15,93.3058,6.25014,4.86579e+07,4.86454e+07,4.86579e+07,4.86454e+07
25,89918.48,93.2718,6.24972,4.92457e+07,4.92324e+07,4.92457e+07,4.92324e+07
30,89805.39,93.2835,6.24987,4.92194e+07,4.92052e+07,4.92194e+07,4.92052e+07
35,89214.73,93.2349,6.25,4.89957e+07,4.89805e+07,4.89957e+07,4.89805e+07
40,89440.00,93.4522,6.09577,4.76689e+07,4.7651e+07,4.76689e+07,4.7651e+07
45,88715.50,93.2071,6.24986,4.86345e+07,4.86207e+07,4.86345e+07,4.86207e+07
50,88938.94,93.3543,6.0976,4.74258e+07,4.74054e+07,4.74258e+07,4.74054e+07
55,89075.62,93.2564,6.25014,4.87587e+07,4.87395e+07,4.87587e+07,4.87395e+07
60,88650.04,93.2222,6.25203,4.85798e+07,4.85578e+07,4.85798e+07,4.85578e+07
