"# of pods","Req/sec","cpu idle","siq","eth0-rx,"eth0-tx,"docker0-rx,"docker0-tx"
1,30888.75,97.5882,1.54307,5.12698e+06,6.3542e+06,5.12698e+06,6.3542e+06
2,57719.34,97.2541,1.87503,9.81187e+06,1.21796e+07,9.81187e+06,1.21796e+07
4,123875.54,96.4481,2.84724,2.05352e+07,2.54765e+07,2.05352e+07,2.54765e+07
6,176991.90,95.8942,3.4569,2.91839e+07,3.62064e+07,2.91839e+07,3.62064e+07
8,211282.23,95.5728,3.8334,3.50015e+07,4.34298e+07,3.50015e+07,4.34298e+07
10,259969.37,95.1746,4.153,4.29189e+07,5.32533e+07,4.29189e+07,5.32533e+07
12,272571.58,95.2856,4.1914,4.5058e+07,5.5912e+07,4.5058e+07,5.5912e+07
14,283648.21,95.1436,4.23753,4.53368e+07,5.62522e+07,4.53368e+07,5.62522e+07
16,252863.18,95.3103,4.04952,4.12878e+07,5.12286e+07,4.12878e+07,5.12286e+07
18,293571.52,94.9418,4.39459,4.81281e+07,5.97129e+07,4.81281e+07,5.97129e+07
20,332124.91,94.7458,4.724,5.46975e+07,6.78702e+07,5.46975e+07,6.78702e+07
25,261963.17,95.0991,4.22845,4.29816e+07,5.33276e+07,4.29816e+07,5.33276e+07
30,364635.07,94.4721,4.91803,6.11788e+07,7.59131e+07,6.11788e+07,7.59131e+07
35,338349.13,94.7564,4.68986,5.57767e+07,6.9211e+07,5.57767e+07,6.9211e+07
40,315986.56,94.9582,4.49587,5.23702e+07,6.49863e+07,5.23702e+07,6.49863e+07
45,331816.86,94.6746,4.75655,5.55638e+07,6.89487e+07,5.55638e+07,6.89487e+07
50,388619.26,94.3582,5.13773,6.45141e+07,8.00572e+07,6.45141e+07,8.00572e+07
55,354409.17,94.475,4.90007,5.91218e+07,7.33678e+07,5.91218e+07,7.33678e+07
60,385622.88,94.2758,5.10334,6.36355e+07,7.89792e+07,6.36355e+07,7.89792e+07
