"# of pods","Req/sec","cpu idle","siq","eth0-rx,"eth0-tx,"docker0-rx,"docker0-tx"
1,35874.77,-nan,-nan,-nan,-nan,-nan,-nan
2,32126.51,-nan,-nan,-nan,-nan,-nan,-nan
4,91724.74,79.138,18.364,45376943,45336658,45376943,45336658
6,153932.04,82.688,17.0315,5.0269e+07,50261561,5.0269e+07,50261561
8,211769.21,97.23,1.7735,7.99262e+06,7.97416e+06,7.99262e+06,7.97416e+06
10,231699.66,69.457,30.356,111428139,111425605,111428139,111425605
12,292207.79,75.969,23.938,98746259,9.87452e+07,98746259,9.87452e+07
14,334220.24,73.5875,26.2565,1.15786e+08,115773870,1.15786e+08,115773870
16,350475.87,59.912,38.149,173354992,173318663,173354992,173318663
18,413799.53,72.3695,27.255,1.32039e+08,132021413,1.32039e+08,132021413
20,475286.05,52.625,45.312,250880427,250809299,250880427,250809299
25,541194.43,68.3385,31.443,179018508,1.78984e+08,179018508,1.78984e+08
30,519476.48,54.938,44,244768979,244636064,244768979,244636064
35,665107.18,45.659,51.718,296272135,296152321,296272135,296152321
40,696733.72,45.341,54.597,318662804,318654178,318662804,318654178
45,708148.36,41.661,57.964,338328981,338316418,338328981,338316418
50,727182.80,58.625,41.1875,242671408,242653872,242671408,242653872
55,723106.23,45.791,54.083,316054376,316045434,316054376,316045434
60,738508.06,40,59.938,344556951,344571282,344556951,344571282
65,752290.61,40.875,59.062,350577011,350568217,350577011,350568217
70,753813.94,99.438,0,12513,7255,12513,7255
