"# of pods","Req/sec","cpu idle","siq","eth0-rx,"eth0-tx,"docker0-rx,"docker0-tx"
1,32945.11,-nan,-nan,-nan,-nan,-nan,-nan
5,127574.15,74.3718,25.2398,7.00304e+07,7.00216e+07,7.00304e+07,7.00216e+07
10,224658.86,-nan,-nan,-nan,-nan,-nan,-nan
15,357314.91,62.7952,36.8407,1.94215e+08,1.94204e+08,1.94215e+08,1.94204e+08
20,435188.48,-nan,-nan,-nan,-nan,-nan,-nan
25,559767.16,-nan,-nan,-nan,-nan,-nan,-nan
30,566400.92,-nan,-nan,-nan,-nan,-nan,-nan
35,699300.18,-nan,-nan,-nan,-nan,-nan,-nan
40,695810.99,-nan,-nan,-nan,-nan,-nan,-nan
45,715360.77,-nan,-nan,-nan,-nan,-nan,-nan
50,729995.65,-nan,-nan,-nan,-nan,-nan,-nan
55,742567.39,-nan,-nan,-nan,-nan,-nan,-nan
60,752329.65,-nan,-nan,-nan,-nan,-nan,-nan
65,739284.13,-nan,-nan,-nan,-nan,-nan,-nan
70,745567.52,-nan,-nan,-nan,-nan,-nan,-nan
