"# of pods","Req/sec"
1,23784.48
2,42686.08
4,89218.79
6,157318.28
8,214745.83
10,264679.55
12,317937.33
14,377034.10
16,422327.98
18,472076.66
20,528182.73
22,558862.44
24,589478.00
26,668084.23
28,717894.57
30,756408.29
32,777087.73
34,784693.14
36,787003.33
38,778077.85
40,784668.71
44,785887.26
48,754097.16
52,792073.05
56,787315.05
60,786649.65
64,793543.38
68,787877.55
72,787020.47
76,791711.97
80,791565.44
84,793016.63
88,803414.79
92,775636.54
96,782712.15
100,797023.16
22,561164.25
24,588477.61
26,628523.45
28,724490.01
