"# of pods","Req/sec"
1,28017.67
2,48679.73
4,94139.79
6,157319.11
8,213414.49
10,265557.99
12,324078.59
14,375937.87
16,425091.72
18,468422.83
20,518742.23
22,562931.39
24,575670.49
26,617141.41
28,686081.37
30,697501.90
32,702759.27
34,706849.69
36,701158.15
38,708872.42
40,699096.25
44,706177.79
48,700872.09
52,707795.08
56,696887.80
60,706868.45
64,695133.82
68,701474.72
72,665274.02
76,698941.23
80,700431.11
84,693117.95
88,691233.74
92,701991.98
96,697621.01
100,693597.75
22,565908.29
24,586858.52
26,622383.37
28,694101.83
