"# of pods","Req/sec"
1,27498.70
2,45263.73
4,95580.04
6,162603.26
8,218309.28
10,272663.13
12,327116.87
14,371527.09
16,428207.05
18,477718.81
20,530537.08
22,566886.36
24,585571.25
26,628423.90
28,701768.63
30,705898.02
32,700375.81
34,704896.81
36,689804.20
38,703832.79
40,703850.26
44,698939.03
48,699918.28
52,703047.35
56,695653.08
60,699784.72
64,706138.22
68,703842.51
72,705298.80
76,703709.06
80,698510.11
84,703832.90
88,704652.39
92,698701.96
96,698154.25
100,689983.65
22,565738.23
24,584113.13
26,638268.92
28,704501.45
