"# of pods","Req/sec"
1,26074.91
2,44710.41
4,90981.67
6,152692.47
8,209101.59
10,262255.33
12,311141.12
14,365235.40
16,409695.92
18,469435.95
20,523841.85
22,566423.57
24,579744.00
26,611262.20
28,720876.25
30,762986.07
32,774302.40
34,779466.62
36,777445.19
38,781395.57
40,778334.51
44,785803.79
48,792466.48
52,791826.91
56,791327.67
60,802687.69
64,783710.18
68,797269.48
72,796746.02
76,791118.15
80,791407.79
84,794353.73
88,784595.53
92,793351.67
96,799779.10
100,790131.73
22,556661.77
24,586324.47
26,610080.04
28,720282.36
