"# of pods","Req/sec"
1,29120.86
2,42600.09
4,90488.56
6,155899.38
8,213957.38
10,265702.33
12,309460.07
14,375215.42
16,424468.33
18,473698.82
20,529640.63
22,565239.42
24,590858.47
26,649164.75
28,717007.27
30,758472.87
32,781945.77
34,775815.25
36,783991.95
38,786616.79
40,790421.16
44,788069.26
48,787125.02
52,781715.63
56,788750.29
60,801580.88
64,790439.63
68,785740.62
72,794992.05
76,800314.05
80,794250.96
84,792459.27
88,783073.54
92,781920.36
96,782788.78
100,788174.93
22,564818.68
24,590019.84
26,629072.75
28,720417.60
