"# of pods","Req/sec"
1,26773.43
2,47325.99
4,89543.94
6,159531.53
8,211597.65
10,268960.53
12,319238.87
14,370617.36
16,429995.24
18,480741.77
20,530826.84
22,563693.28
24,583541.23
26,673245.86
28,725773.14
30,758683.51
32,780208.06
34,778794.15
36,781829.12
38,780461.55
40,772517.25
44,783703.14
48,738347.18
52,788885.87
56,792921.82
60,790576.96
64,786914.18
68,789702.75
72,784211.95
76,781023.09
80,785466.43
84,789545.06
88,798935.12
92,790652.22
96,774419.73
100,790886.22
22,565713.46
24,590770.13
26,673242.16
28,722822.32
