"# of pods","Req/sec"
1,25802.84
2,44560.38
4,86845.68
6,150690.60
8,208249.07
10,262281.95
12,315894.58
14,367642.93
16,420652.15
18,473839.89
20,525212.80
22,561105.23
24,584445.53
26,663148.38
28,711936.77
30,758802.90
32,778008.43
34,776942.67
36,781893.34
38,775352.80
40,786088.41
44,787641.52
48,788984.44
52,783422.86
56,790735.22
60,794249.20
64,791647.63
68,784919.03
72,791684.67
76,781579.20
80,780061.53
84,781634.39
88,782633.99
92,790367.36
96,791889.02
100,795199.28
22,565610.01
24,587603.44
26,644588.36
28,716146.79
