"# of pods","Req/sec"
1,24253.19
2,48473.22
4,98177.10
6,159403.97
8,218564.97
10,268518.09
12,320723.86
14,373113.38
16,427721.26
18,476509.29
20,529739.18
22,564712.77
24,585127.90
26,633403.92
28,696195.07
30,692071.34
32,694146.25
34,687418.03
36,700919.01
38,694227.37
40,702655.54
44,700523.85
48,698599.12
52,697767.49
56,705002.18
60,696605.29
64,686213.01
68,696158.33
72,695577.53
76,703567.60
80,691150.49
84,694629.97
88,701105.66
92,701575.13
96,696077.48
100,700498.20
22,562213.78
24,584012.65
26,620146.50
28,706412.89
