"# of pods","Req/sec"
1,22914.66
2,46364.22
4,97296.81
6,155349.73
8,212457.59
10,263109.38
12,302139.26
14,370316.66
16,419916.04
18,474444.34
20,522101.59
22,567301.68
24,571406.19
26,615937.12
28,637152.51
30,707405.96
32,707949.42
34,699396.49
36,699493.00
38,698853.56
40,702573.77
44,702309.91
48,709833.36
52,700846.33
56,699148.49
60,688491.66
64,704209.53
68,707045.47
72,695654.06
76,691470.11
80,698924.41
84,701958.65
88,706465.61
92,694121.47
96,699059.93
100,702319.93
22,565679.31
24,586687.59
26,588858.78
28,680620.19
