1540633088,4,1,3.5
1540633142,2,2,1.5
1540633202,1,1,0.5
1540633269,3,1,2.5
1540633323,1,1,0.5
1540633391,4,2,4.5
1540633445,2,2,3.5
1540633512,4,2,3.5
1540633566,3,3,1.5
1540633626,1,1,0.5
1540633694,2,1,2.5
1540633753,4,3,3.5
1540633809,2,2,1.5
1540633875,3,2,1.5
1540633930,1,1,0.5
1540633999,4,1,3.5
1540634052,3,3,0.5
1540634114,2,2,1.5
1540634181,4,2,4.5
1540634235,1,1,1.5
1540634301,3,1,2.5
1540634355,2,2,0.5
1540634421,3,2,1.5
1540634477,2,2,1.5
1540634537,1,1,0.5
1540634605,4,2,4.5
1540634658,2,2,1.5
1540634719,1,1,0.5
1540634786,4,2,4.5
1540634841,3,3,1.5
1540634906,4,3,2.5
1540634963,1,1,3.5
1540635029,3,1,3.5
1540635083,2,2,0.5
1540635144,1,1,0.5
1540635211,3,1,2.5
1540635266,2,2,1.5
1540635333,4,2,4.5
1540635387,2,2,0.5
1540635452,3,2,2.5
1540635515,4,3,2.5
1540635568,1,1,1.5
1540635635,3,1,1.5
1540635696,4,3,2.5
1540635752,2,2,2.5
1540635812,1,1,0.5
1540635879,4,2,5.5
1540635935,3,3,3.5
1540635994,2,2,1.5
1540636055,1,1,1.5
1540636122,4,1,3.5
1540636177,3,3,1.5
1540636238,1,1,1.5
1540636304,2,1,2.5
1540636365,4,2,3.5
1540636418,3,3,1.5
1540636480,2,2,2.5
1540636545,3,2,1.5
1540636601,1,1,0.5
1540636668,4,2,3.5
1540636722,1,1,1.5
1540636787,2,1,1.5
1540636850,4,2,2.5
1540636904,3,3,0.5
1540636966,2,2,2.5
1540637026,1,1,0.5
1540637093,4,1,4.5
1540637147,3,3,1.5
1540637208,1,1,0.5
1540637273,2,1,1.5
1540637336,3,2,1.5
