"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k08",,,,"User:","root"
"Cmdline:","dstat -Tcn -N eth0,docker0,veth31e08a5 --output dstat_16.csv -i 1 35",,,,"Date:","14 Dec 2018 04:12:21 JST"

"epoch","total cpu usage",,,,,,"net/eth0",,"net/docker0",,"net/veth31e08a5",,"interrupts",,
"epoch","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","29","30","31"
1544728341.783,0.375,0.189,99.207,0.002,0.0,0.227,0.0,0.0,0.0,0.0,0.0,0.0,173.162,183.101,303.666
1544728342.784,0.125,0.062,84.611,0.0,0.0,15.202,19690.0,13383.0,22212101.0,24811241.0,24805538.0,24808820.0,9095.0,9245.0,8998.0
1544728343.784,0.188,0.062,36.875,0.0,0.0,62.875,52830455.0,52687585.0,94975414.0,105761378.0,105745931.0,105761770.0,32999.0,32791.0,33338.0
1544728344.784,2.070,0.439,35.759,0.0,0.0,61.731,111775989.0,111525567.0,95373531.0,106201013.0,106200714.0,106199892.0,36012.0,35097.0,35863.0
1544728345.784,0.062,0.062,35.990,0.0,0.0,63.885,111957400.0,111419651.0,95559309.0,106402137.0,106404044.0,106404580.0,33447.0,32947.0,33751.0
1544728346.784,0.063,0.063,36.324,0.0,0.0,63.551,112128494.0,111771878.0,95506970.0,106350633.0,106345605.0,106349495.0,33717.0,33204.0,34031.0
1544728347.784,0.0,0.062,36.188,0.0,0.0,63.750,112111107.0,111773469.0,95598206.0,106453491.0,106445515.0,106450442.0,33182.0,32799.0,33379.0
1544728348.784,0.125,0.0,37.250,0.0,0.0,62.625,112118173.0,111749903.0,95547882.0,106399761.0,106394579.0,106400320.0,33102.0,32813.0,33406.0
1544728349.784,0.062,0.188,34.625,0.062,0.0,65.062,112116495.0,111764948.0,95507428.0,106345571.0,106349044.0,106347087.0,33275.0,32863.0,33373.0
1544728350.784,0.124,0.062,36.217,0.0,0.0,63.597,112112422.0,111770691.0,95634905.0,106486197.0,106488850.0,106488100.0,33629.0,33115.0,33980.0
1544728351.784,0.0,0.063,38.519,0.0,0.0,61.418,112138476.0,111766623.0,95484480.0,106328050.0,106320459.0,106327841.0,33208.0,32545.0,33373.0
1544728352.784,0.125,0.063,38.149,0.0,0.0,61.664,112571472.0,112213787.0,95502317.0,106346278.0,106343516.0,106345597.0,34428.0,33820.0,34599.0
1544728353.784,0.125,0.0,36.562,0.0,0.0,63.312,111660889.0,111335032.0,95561363.0,106415454.0,106403894.0,106415962.0,33506.0,33000.0,33739.0
1544728354.784,0.250,0.125,38.688,0.0,0.0,60.938,112106000.0,111599385.0,95520268.0,106367990.0,106365582.0,106367611.0,34030.0,33583.0,34294.0
1544728355.784,1.812,0.312,35.875,0.0,0.0,62.0,112516885.0,111911261.0,95335716.0,106166296.0,106164598.0,106166076.0,36092.0,35500.0,36330.0
1544728356.784,0.125,0.062,36.375,0.0,0.0,63.438,111992200.0,111628507.0,95557396.0,106403030.0,106399670.0,106402436.0,33447.0,32836.0,33607.0
1544728357.784,0.188,0.125,35.500,0.0,0.0,64.188,111658523.0,111334524.0,95533722.0,106376648.0,106375929.0,106378760.0,33138.0,32555.0,33326.0
1544728358.784,0.125,0.062,95.750,0.0,0.0,4.062,51805275.0,51823574.0,5770771.0,6471963.0,6462203.0,6472342.0,2259.0,2155.0,2228.0
1544728359.784,0.187,0.125,75.203,0.0,0.0,24.485,56848584.0,56729285.0,1723.0,3482.0,2017.0,3482.0,31731.0,31944.0,32120.0
1544728360.784,0.0,0.063,74.922,0.0,0.0,25.016,112096808.0,111955969.0,872.0,424.0,1096.0,424.0,36015.0,35109.0,36052.0
1544728361.784,0.062,0.187,65.646,0.0,0.0,34.104,112140439.0,111968430.0,1882.0,9332.0,2358.0,9332.0,19211.0,18717.0,19130.0
1544728362.784,0.063,0.063,69.543,0.0,0.0,30.331,112545769.0,112398756.0,1398.0,4273.0,1748.0,4273.0,22423.0,21725.0,22258.0
1544728363.784,0.0,0.062,66.812,0.0,0.0,33.125,111590367.0,111514382.0,1596.0,12895.0,1988.0,12895.0,22341.0,21587.0,22160.0
1544728364.784,0.250,0.188,66.938,0.0,0.0,32.625,112113831.0,111954010.0,708.0,3690.0,890.0,3690.0,22502.0,21840.0,22282.0
1544728365.784,1.875,0.188,66.562,0.0,0.0,31.375,112026168.0,111962354.0,872.0,1458.0,1096.0,1458.0,28215.0,27517.0,28151.0
1544728366.784,0.375,0.312,74.688,0.0,0.0,24.625,112110408.0,111972294.0,1622.0,4637.0,2028.0,4637.0,35916.0,35179.0,36126.0
1544728367.784,0.062,0.062,66.0,0.0,0.0,33.875,112101067.0,111970121.0,2257.0,7497.0,2677.0,7497.0,25582.0,24971.0,25454.0
1544728368.784,0.063,0.125,66.417,0.0,0.0,33.396,112020827.0,111970938.0,1346.0,6598.0,1682.0,6598.0,23382.0,22606.0,23213.0
1544728369.784,0.125,0.062,65.834,0.0,0.0,33.979,112082132.0,111953043.0,779.0,1450.0,975.0,1450.0,19419.0,18877.0,19322.0
1544728370.784,0.063,0.063,67.605,0.0,0.0,32.270,112155410.0,111967094.0,820.0,370.0,1030.0,370.0,19612.0,19121.0,19584.0
1544728371.784,0.062,0.0,67.812,0.0,0.0,32.125,112131551.0,111970009.0,1830.0,9146.0,2292.0,9146.0,23950.0,23306.0,23921.0
1544728372.784,0.188,0.125,68.0,0.0,0.0,31.688,112117585.0,111968696.0,1346.0,4153.0,1682.0,4153.0,24406.0,23581.0,24269.0
1544728373.784,0.125,0.062,67.853,0.062,0.0,31.898,112128393.0,111970745.0,1544.0,13008.0,1922.0,13008.0,20112.0,19610.0,20006.0
1544728374.784,0.125,0.063,88.165,0.0,0.0,11.647,47041064.0,47190592.0,1723.0,5759.0,2017.0,5759.0,14117.0,13806.0,13944.0
1544728375.784,0.062,0.125,99.813,0.0,0.0,0.0,0.0,0.0,1070.0,1458.0,1336.0,1458.0,3.0,4.0,2.0
1544728376.784,2.311,0.375,97.314,0.0,0.0,0.0,3004.0,2194.0,1622.0,4571.0,2028.0,4571.0,12.0,3.0,15.0
