"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k08",,,,"User:","root"
"Cmdline:","dstat -Tcn -N eth0,docker0,veth31e08a5 --output dstat_22.csv -i 1 35",,,,"Date:","14 Dec 2018 04:14:53 JST"

"epoch","total cpu usage",,,,,,"net/eth0",,"net/docker0",,"net/veth31e08a5",,"interrupts",,
"epoch","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","29","30","31"
1544728493.993,0.375,0.189,99.205,0.002,0.0,0.229,0.0,0.0,0.0,0.0,0.0,0.0,175.111,185.030,305.611
1544728494.994,0.250,0.250,86.508,0.0,0.0,12.992,19234.0,9344.0,20102227.0,22450547.0,22446447.0,22447016.0,8270.0,8531.0,8787.0
1544728495.994,0.062,0.0,39.475,0.0,0.0,60.462,90469148.0,90149254.0,95496627.0,106340154.0,106324023.0,106323480.0,35781.0,35571.0,36674.0
1544728496.994,0.188,0.125,38.611,0.0,0.0,61.076,112135621.0,111763703.0,95547771.0,106396049.0,106408593.0,106412657.0,34960.0,34885.0,35668.0
1544728497.994,0.0,0.0,37.688,0.0,0.0,62.312,112142161.0,111772481.0,95551943.0,106395723.0,106394482.0,106397330.0,35184.0,35107.0,35711.0
1544728498.995,0.187,0.250,39.038,0.0,0.0,60.525,112575349.0,112198832.0,95320139.0,106140300.0,106135627.0,106139412.0,35167.0,34945.0,35911.0
1544728499.995,0.062,0.188,37.188,0.0,0.0,62.562,111467595.0,111216341.0,95470665.0,106303821.0,106303258.0,106303789.0,34911.0,34982.0,35697.0
1544728500.994,0.062,0.062,39.062,0.0,0.0,60.812,112129158.0,111767544.0,95643766.0,106497241.0,106489171.0,106488150.0,35045.0,34906.0,36143.0
1544728501.995,2.250,0.375,37.250,0.0,0.0,60.125,111836724.0,111513482.0,95286932.0,106107733.0,106109489.0,106117824.0,36027.0,35791.0,36728.0
1544728502.994,0.125,0.125,38.750,0.0,0.0,61.0,112097976.0,111755638.0,95387331.0,106215212.0,106212107.0,106215668.0,33883.0,33531.0,34332.0
1544728503.995,0.062,0.0,37.938,0.0,0.0,62.0,112543468.0,112137569.0,95744785.0,106627517.0,106600804.0,106612830.0,33767.0,33319.0,34197.0
1544728504.995,0.188,0.188,38.312,0.0,0.0,61.312,111699221.0,111330810.0,95483734.0,106315219.0,106329018.0,106329250.0,33256.0,32918.0,33565.0
1544728505.995,0.0,0.0,37.961,0.0,0.0,62.039,112571650.0,112200487.0,95537330.0,106384599.0,106384597.0,106384825.0,33113.0,32396.0,33324.0
1544728506.994,0.187,0.062,38.226,0.0,0.0,61.524,112137888.0,111769276.0,95518309.0,106364675.0,106359765.0,106361825.0,32644.0,32179.0,33138.0
1544728507.994,0.0,0.063,38.462,0.0,0.0,61.476,111695471.0,111326234.0,95588897.0,106439195.0,106434217.0,106437682.0,32850.0,32574.0,33274.0
1544728508.994,0.125,0.125,36.562,0.0,0.0,63.188,112137568.0,111767369.0,95575769.0,106435449.0,106427223.0,106439234.0,33003.0,32646.0,33524.0
1544728509.995,0.062,0.125,39.538,0.0,0.0,60.275,112131379.0,111769441.0,95553949.0,106400381.0,106398905.0,106401507.0,33777.0,33416.0,34177.0
1544728510.994,0.063,0.063,92.683,0.0,0.0,7.192,16457012.0,16573648.0,9720691.0,10854117.0,10859997.0,10855453.0,3546.0,3531.0,3584.0
1544728511.994,0.937,0.187,73.517,0.0,0.0,25.359,0.0,0.0,1882.0,9278.0,2358.0,9278.0,23176.0,22964.0,22444.0
1544728512.994,1.126,0.313,73.358,0.0,0.0,25.203,91220990.0,91147911.0,1398.0,4273.0,1748.0,4273.0,37165.0,37007.0,36515.0
1544728513.994,0.062,0.062,73.142,0.0,0.0,26.733,111585262.0,111380723.0,2684.0,16919.0,3356.0,16919.0,36455.0,36392.0,35710.0
1544728514.994,0.125,0.063,73.483,0.063,0.0,26.266,112035185.0,111971950.0,820.0,370.0,1030.0,370.0,36648.0,36613.0,36019.0
1544728515.994,0.062,0.062,74.953,0.0,0.0,24.922,112053646.0,111972388.0,1744.0,1828.0,2192.0,1828.0,36700.0,36604.0,36274.0
1544728516.994,0.125,0.062,76.0,0.0,0.0,23.812,112096554.0,111969618.0,1726.0,4703.0,2160.0,4703.0,36391.0,36188.0,35898.0
1544728517.994,0.0,0.062,77.875,0.0,0.0,22.062,112592618.0,112409926.0,2361.0,7379.0,2809.0,7379.0,36526.0,36348.0,35784.0
1544728518.994,0.125,0.062,75.438,0.0,0.0,24.375,111730121.0,111533915.0,2278.0,6968.0,2852.0,6968.0,36112.0,36033.0,35550.0
1544728519.994,0.125,0.125,74.562,0.0,0.0,25.188,112587325.0,112404179.0,1099.0,1598.0,1379.0,1598.0,36763.0,36562.0,36258.0
1544728520.994,0.062,0.062,73.500,0.0,0.0,26.375,111666668.0,111514111.0,1640.0,740.0,2060.0,740.0,36903.0,36654.0,36214.0
1544728521.994,0.0,0.0,73.671,0.0,0.0,26.329,112159680.0,111972936.0,1882.0,9278.0,2358.0,9278.0,36675.0,36533.0,36301.0
1544728522.994,1.936,0.312,72.767,0.0,0.0,24.984,112093060.0,111969311.0,1346.0,4153.0,1682.0,4153.0,37062.0,37285.0,36696.0
1544728523.994,0.0,0.0,76.125,0.0,0.0,23.875,111707538.0,111334064.0,2416.0,16760.0,3018.0,16760.0,36628.0,36475.0,36105.0
1544728524.994,0.250,0.062,74.375,0.0,0.0,25.312,111695074.0,111683298.0,1036.0,444.0,1302.0,444.0,36330.0,36254.0,35713.0
1544728525.994,0.0,0.0,73.279,0.0,0.0,26.721,112141625.0,111971991.0,2707.0,3926.0,3253.0,3926.0,36579.0,36255.0,35952.0
1544728526.994,0.125,0.062,87.570,0.0,0.0,12.242,112121125.0,111971083.0,1622.0,4637.0,2028.0,4637.0,17717.0,17738.0,17613.0
