"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k08",,,,"User:","root"
"Cmdline:","dstat -Tcn -N eth0,docker0,veth31e08a5 --output dstat_10.csv -i 1 35",,,,"Date:","14 Dec 2018 04:09:53 JST"

"epoch","total cpu usage",,,,,,"net/eth0",,"net/docker0",,"net/veth31e08a5",,"interrupts",,
"epoch","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","29","30","31"
1544728193.117,0.375,0.189,99.210,0.002,0.0,0.224,0.0,0.0,0.0,0.0,0.0,0.0,171.126,181.084,301.651
1544728194.118,0.188,0.188,86.938,0.0,0.0,12.688,22746.0,9773.0,17223849.0,19265275.0,19248146.0,19262694.0,7206.0,7427.0,7275.0
1544728195.118,0.062,0.062,40.250,0.0,0.0,59.625,67670221.0,67580415.0,92990932.0,103542349.0,103539916.0,103541405.0,36411.0,36201.0,35902.0
1544728196.118,0.125,0.062,38.312,0.0,0.0,61.500,109225913.0,108790567.0,95551236.0,106396181.0,106391934.0,106387738.0,36167.0,35946.0,36294.0
1544728197.118,0.0,0.063,38.149,0.0,0.0,61.789,112127634.0,111779285.0,95634525.0,106488303.0,106489435.0,106497799.0,36132.0,35830.0,36073.0
1544728198.118,1.624,0.312,36.477,0.0,0.0,61.587,112557335.0,112210909.0,95408521.0,106235093.0,106230945.0,106233520.0,36869.0,36513.0,36404.0
1544728199.118,0.250,0.188,34.250,0.0,0.0,65.312,111436516.0,111273488.0,95439807.0,106273419.0,106264128.0,106272439.0,35493.0,35237.0,35154.0
1544728200.118,0.062,0.0,34.438,0.0,0.0,65.500,112102194.0,111758146.0,95513779.0,106348674.0,106337576.0,106335571.0,34836.0,34463.0,34426.0
1544728201.118,0.125,0.062,38.375,0.0,0.0,61.438,112586191.0,112231190.0,95496265.0,106341033.0,106348460.0,106353310.0,36011.0,35995.0,36020.0
1544728202.118,0.125,0.0,39.149,0.0,0.0,60.725,111682931.0,111319741.0,95445142.0,106274868.0,106271296.0,106275500.0,36099.0,35878.0,35959.0
1544728203.118,0.0,0.188,35.062,0.0,0.0,64.750,112443576.0,112071401.0,95541570.0,106389543.0,106389552.0,106392734.0,34939.0,34632.0,34604.0
1544728204.118,0.187,0.125,35.103,0.0,0.0,64.585,111993703.0,111714131.0,95434186.0,106273384.0,106261074.0,106273632.0,33193.0,32654.0,33143.0
1544728205.118,0.0,0.062,35.562,0.0,0.0,64.375,112133639.0,111769819.0,95624467.0,106477668.0,106476664.0,106477627.0,33660.0,33086.0,33446.0
1544728206.118,0.0,0.062,39.312,0.0,0.0,60.625,111713619.0,111343370.0,95527629.0,106370788.0,106365591.0,106368854.0,33649.0,33112.0,33114.0
1544728207.118,0.125,0.062,35.938,0.0,0.0,63.875,112545562.0,112214829.0,95515995.0,106351960.0,106351851.0,106352129.0,33279.0,32800.0,32929.0
1544728208.118,0.0,0.062,36.375,0.0,0.0,63.562,111674583.0,111321238.0,95581638.0,106431228.0,106426807.0,106430520.0,33691.0,33319.0,33535.0
1544728209.119,2.439,0.375,39.087,0.0,0.0,58.099,112418705.0,112189715.0,95378503.0,106210072.0,106197995.0,106210907.0,36559.0,36194.0,36356.0
1544728210.118,0.250,0.250,93.317,0.0,0.0,6.184,34959320.0,35067811.0,9181056.0,10255469.0,10259808.0,10258928.0,3842.0,3796.0,3802.0
1544728211.118,0.125,0.062,76.875,0.0,0.0,22.938,72364416.0,72234304.0,1070.0,8974.0,1336.0,8974.0,31031.0,31095.0,30646.0
1544728212.118,0.0,0.0,74.922,0.0,0.0,25.078,112120385.0,111979113.0,760.0,424.0,956.0,424.0,36767.0,36229.0,36435.0
1544728213.118,0.062,0.0,73.875,0.0,0.0,26.062,112125031.0,111977998.0,1122.0,5159.0,1402.0,5159.0,36789.0,36518.0,36634.0
1544728214.118,0.188,0.188,76.938,0.0,0.0,22.688,112169387.0,111978012.0,716.0,15021.0,884.0,15021.0,36467.0,36154.0,36151.0
1544728215.118,0.062,0.062,75.265,0.0,0.0,24.610,112108425.0,111960005.0,924.0,1512.0,1162.0,1512.0,37053.0,36564.0,36404.0
1544728216.118,0.0,0.0,72.733,0.0,0.0,27.267,112086764.0,111977382.0,882.0,4309.0,1106.0,4309.0,31951.0,31568.0,31632.0
1544728217.118,0.125,0.125,65.750,0.0,0.0,34.0,112114515.0,111979275.0,1877.0,3622.0,2199.0,3622.0,23114.0,22631.0,22684.0
1544728218.118,0.062,0.062,67.438,0.0,0.0,32.438,112074481.0,111979176.0,872.0,4074.0,1096.0,4074.0,23125.0,22432.0,22710.0
1544728219.118,0.125,0.188,66.188,0.0,0.0,33.500,0.0,0.0,518.0,7374.0,644.0,7374.0,22762.0,22416.0,22542.0
1544728220.118,1.562,0.375,69.688,0.0,0.0,28.375,112001440.0,111976868.0,891.0,490.0,1115.0,490.0,33966.0,33452.0,33573.0
1544728221.118,0.062,0.0,74.578,0.062,0.0,25.297,111895497.0,111836030.0,1062.0,8974.0,1328.0,8974.0,37237.0,36755.0,36631.0
1544728222.118,0.062,0.0,73.688,0.0,0.0,26.250,112578864.0,112417234.0,820.0,424.0,1030.0,424.0,36944.0,36500.0,36528.0
1544728223.118,0.0,0.0,74.547,0.0,0.0,25.453,111657432.0,111538366.0,1070.0,5093.0,1336.0,5093.0,37061.0,36535.0,36692.0
1544728224.118,0.188,0.250,73.312,0.0,0.0,26.250,112072432.0,111981848.0,664.0,14870.0,818.0,14870.0,37069.0,36525.0,36844.0
1544728225.118,0.062,0.062,75.453,0.0,0.0,24.422,112086464.0,111977045.0,1939.0,3461.0,2289.0,3461.0,36620.0,36257.0,36328.0
1544728226.118,0.062,0.062,86.750,0.0,0.0,13.125,112111673.0,111982940.0,802.0,4201.0,998.0,4201.0,17889.0,17875.0,17583.0
1544728227.118,0.063,0.0,99.937,0.0,0.0,0.0,35549750.0,35646938.0,966.0,1524.0,1204.0,1524.0,1.0,2.0,4.0
1544728228.118,0.250,0.0,99.750,0.0,0.0,0.0,6271.0,1079.0,872.0,4008.0,1096.0,4008.0,0.0,3.0,2.0
