"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k08",,,,"User:","root"
"Cmdline:","dstat -Tcn -N eth0,docker0,veth31e08a5 --output dstat_4.csv -i 1 35",,,,"Date:","14 Dec 2018 04:07:19 JST"

"epoch","total cpu usage",,,,,,"net/eth0",,"net/docker0",,"net/veth31e08a5",,"interrupts",,
"epoch","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","29","30","31"
1544728039.873,0.375,0.189,99.212,0.002,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,169.322,179.313,299.894
1544728040.874,0.187,0.0,90.006,0.0,0.0,9.806,13686.0,19672.0,8732492.0,9772823.0,9761691.0,9770516.0,4703.0,4794.0,4770.0
1544728041.874,0.0,0.0,54.631,0.0,0.0,45.369,15008612.0,14995939.0,50315694.0,56094650.0,56097691.0,56096693.0,25534.0,24930.0,24777.0
1544728042.874,2.060,0.375,53.745,0.0,0.0,43.820,59040045.0,59036474.0,53566479.0,59645055.0,59639818.0,59643514.0,26702.0,26094.0,26026.0
1544728043.874,0.250,0.0,58.412,0.0,0.0,41.338,63146604.0,63123817.0,47213059.0,52662146.0,52648482.0,52657977.0,24633.0,24235.0,24037.0
1544728044.874,0.063,0.063,57.786,0.0,0.0,42.089,54876384.0,54866921.0,45594091.0,50865936.0,50864248.0,50871084.0,24429.0,23907.0,23818.0
1544728045.874,0.125,0.062,55.590,0.0,0.0,44.222,54955128.0,54952427.0,50820958.0,56610765.0,56607730.0,56611591.0,25864.0,25309.0,25152.0
1544728046.874,0.188,0.062,56.938,0.0,0.0,42.812,58976616.0,58959479.0,50004191.0,55713317.0,55712459.0,55711772.0,25727.0,25252.0,25109.0
1544728047.874,0.062,0.062,54.875,0.0,0.0,45.0,59796146.0,59791643.0,51979932.0,57888766.0,57884752.0,57889187.0,26191.0,25776.0,25578.0
1544728048.874,0.188,0.062,57.438,0.0,0.0,42.312,58630559.0,58632365.0,46652547.0,52045770.0,52038920.0,52045506.0,24812.0,24271.0,24274.0
1544728049.874,0.0,0.0,60.0,0.0,0.0,40.0,55678615.0,55668098.0,41701588.0,46546594.0,46546645.0,46546461.0,23405.0,23001.0,22998.0
1544728050.874,0.062,0.188,56.625,0.0,0.0,43.125,50385124.0,50386412.0,50158011.0,55904919.0,55892469.0,55903810.0,25745.0,25212.0,25159.0
1544728051.874,0.062,0.125,58.688,0.0,0.0,41.125,59602759.0,59593073.0,46832341.0,52204166.0,52208706.0,52206141.0,24572.0,24106.0,24004.0
1544728052.874,1.999,0.375,58.588,0.0,0.0,39.038,55139696.0,55133306.0,49686964.0,55359389.0,55354387.0,55358969.0,25778.0,25315.0,25093.0
1544728053.874,0.188,0.125,58.724,0.0,0.0,40.963,50887325.0,50865769.0,44831017.0,50023630.0,50010443.0,50023815.0,24249.0,23853.0,23663.0
1544728054.874,0.062,0.125,59.125,0.0,0.0,40.688,55720935.0,55715647.0,46279923.0,51619584.0,51614574.0,51617988.0,24605.0,24007.0,23960.0
