"Epoch","Req/sec"
1506570230,159141.86
1506570538,165281.59
1506570847,150775.38
1506571155,171134.61
1506571463,173555.02
1506571771,164715.76
1506572079,174791.72
1506572387,158112.91
1506572695,162676.39
1506573003,165985.79
1506573311,168113.11
1506573619,159926.59
1506573927,156069.77
1506574235,170707.23
1506574543,157822.63
1506574851,165662.93
1506575159,164132.81
1506575466,156539.78
1506575774,155149.49
1506576083,149210.04
1506576391,135071.79
1506576699,145795.48
1506577008,125206.15
1506577318,96010.72
1506577628,107413.77
1506577939,86256.89
1506578250,80963.81
1506578560,100898.73
1506578871,104534.95
1506579180,125810.15
1506579489,138655.25
1506579798,125957.87
1506580106,141462.61
1506580415,127397.90
1506580724,142912.71
1506581032,142849.76
1506581341,147111.50
1506581649,151064.22
1506581957,137503.71
1506582265,129270.07
1506582574,142287.48
1506582882,137353.09
1506583190,154254.19
1506583498,155833.87
1506583806,164029.60
1506584114,155154.26
1506584422,161032.95
1506584730,163304.44
1506585038,159004.26
1506585346,162820.83
1506585654,145172.62
1506585962,160525.61
1506586270,153610.50
1506586578,163340.59
1506586886,158111.00
1506587193,152926.68
1506587501,164688.76
1506587809,160447.58
1506588117,161105.24
1506588425,155701.17
1506588733,159351.94
1506589041,152026.66
1506589349,161640.29
1506589657,159344.13
1506589965,155587.07
1506590272,154802.36
1506590580,148754.35
1506590888,154457.79
1506591196,148523.71
1506591505,153363.65
1506591812,160913.03
1506592120,127693.27
1506592428,95176.14
1506592737,95190.20
1506593045,82520.69
1506593353,99403.09
1506593661,113108.64
1506593969,80045.02
1506594277,91857.97
1506594585,107539.05
1506594893,107103.09
1506595202,71855.72
1506595510,101437.69
1506595818,81089.65
1506596126,90476.74
1506596434,154304.87
1506596742,141048.25
1506597050,153143.49
1506597358,152710.85
1506597666,131874.64
1506597974,145271.16
1506598282,133529.68
1506598591,133508.23
1506598899,142695.80
1506599207,130779.45
1506599515,144913.42
1506599823,139869.53
1506600132,91823.20
1506600443,98213.28
1506600753,117271.67
