"Epoch","Req/sec"
1506570115,155185.42
1506570423,157580.06
1506570731,166845.11
1506571039,169464.47
1506571347,177899.01
1506571656,152068.30
1506571964,160428.78
1506572272,178762.60
1506572580,156054.20
1506572888,180841.06
1506573196,162836.23
1506573503,176208.89
1506573812,154748.62
1506574120,158390.55
1506574428,160736.41
1506574735,159151.27
1506575043,170365.20
1506575351,171895.79
1506575659,146455.29
1506575967,149997.23
1506576275,149511.81
1506576584,129498.27
1506576893,141132.51
1506577202,112884.42
1506577512,108472.08
1506577823,83746.09
1506578133,91586.33
1506578444,95548.30
1506578754,102979.83
1506579064,132143.52
1506579373,127360.17
1506579682,125563.13
1506579991,148119.92
1506580299,135970.77
1506580608,138273.11
1506580917,127744.66
1506581225,134148.37
1506581533,141526.47
1506581842,145259.77
1506582150,135212.56
1506582458,143532.36
1506582766,142010.79
1506583075,155284.48
1506583383,149219.38
1506583691,143801.86
1506583999,148464.05
1506584306,158284.68
1506584614,160592.13
1506584922,168801.83
1506585230,155166.55
1506585538,146574.76
1506585846,144340.22
1506586154,163417.83
1506586462,163591.46
1506586770,151734.18
1506587078,156121.14
1506587386,155024.75
1506587694,159064.25
1506588002,153810.48
1506588310,163393.79
1506588617,158768.27
1506588925,152083.58
1506589233,157671.60
1506589541,153903.44
1506589849,138825.13
1506590157,150204.34
1506590465,150787.65
1506590773,159535.55
1506591081,146698.53
1506591389,152953.19
1506591697,151825.01
1506592005,163605.12
1506592313,162596.99
1506592621,147607.11
1506592929,158057.74
1506593237,162224.54
1506593545,143616.11
1506593853,158415.97
1506594161,143746.44
1506594470,152136.84
1506594778,143947.77
1506595086,152312.05
1506595394,152721.11
1506595702,148004.03
1506596010,144354.42
1506596319,142502.26
1506596627,145880.94
1506596935,152429.28
1506597243,150604.63
1506597551,146726.75
1506597859,136895.39
1506598167,155704.76
1506598475,153740.44
1506598784,134255.39
1506599092,134710.15
1506599400,153655.26
1506599708,153350.66
1506600016,133173.80
1506600326,88880.62
1506600637,106391.67
