"Epoch","Req/sec"
1506570346,155736.00
1506570654,156582.87
1506570962,149914.31
1506571270,155628.92
1506571578,154700.17
1506571887,151126.11
1506572194,151207.35
1506572502,147515.16
1506572811,151944.18
1506573119,149228.63
1506573426,148770.58
1506573734,146472.72
1506574043,148703.80
1506574351,147749.78
1506574658,151728.00
1506574966,152601.41
1506575274,154103.62
1506575582,147671.01
1506575890,138399.82
1506576198,139615.45
1506576506,125976.38
1506576815,139117.51
1506577124,133696.82
1506577434,108033.85
1506577745,81812.97
1506578056,114745.58
1506578366,102598.69
1506578676,94428.56
1506578987,143781.15
1506579296,134935.03
1506579604,143622.61
1506579914,125655.92
1506580222,141318.32
1506580531,130373.47
1506580839,142165.79
1506581148,138858.59
1506581456,136243.38
1506581764,147046.50
1506582073,128934.94
1506582381,138433.07
1506582689,148293.87
1506582998,152705.24
1506583306,151216.87
1506583614,154019.04
1506583922,153723.23
1506584229,150984.16
1506584537,148090.77
1506584845,153883.77
1506585153,155104.08
1506585461,149269.25
1506585769,148117.44
1506586077,151403.53
1506586385,155123.12
1506586693,154926.78
1506587001,150292.42
1506587309,155066.59
1506587617,153343.26
1506587925,152088.84
1506588233,152597.58
1506588540,153194.67
1506588848,152613.14
1506589156,152338.03
1506589464,154530.53
1506589772,137202.94
1506590080,144275.16
1506590388,152576.24
1506590696,155711.04
1506591004,152278.11
1506591312,147412.96
1506591620,148351.37
1506591928,149947.30
1506592236,149702.67
1506592544,139363.12
1506592852,144780.77
1506593160,145452.05
1506593468,146425.57
1506593776,148850.26
1506594084,144654.72
1506594393,137880.24
1506594701,150708.57
1506595009,146984.91
1506595317,149197.44
1506595625,150373.11
1506595933,146969.62
1506596241,146349.53
1506596550,145404.94
1506596858,148600.03
1506597166,149889.19
1506597474,151774.35
1506597782,133220.90
1506598090,147221.75
1506598398,145516.70
1506598706,136207.98
1506599015,145930.43
1506599323,156448.22
1506599631,151975.18
1506599939,138954.21
1506600249,90480.81
1506600559,110956.58
1506600869,93059.72
