"Epoch","Req/sec"
1506570153,159173.90
1506570461,164934.11
1506570770,170271.23
1506571078,174010.27
1506571386,173521.79
1506571694,156658.76
1506572002,175347.40
1506572310,178896.29
1506572618,156839.57
1506572926,166167.87
1506573234,161732.45
1506573542,154814.87
1506573850,178901.76
1506574158,152734.93
1506574466,162002.13
1506574774,164049.82
1506575082,143857.76
1506575390,163847.32
1506575697,153678.54
1506576006,158122.57
1506576314,135428.19
1506576622,125977.28
1506576931,137664.24
1506577241,111260.97
1506577550,107663.99
1506577862,77889.28
1506578172,85629.43
1506578483,114062.51
1506578793,93364.61
1506579103,153301.24
1506579412,144764.66
1506579720,135690.16
1506580029,141734.18
1506580338,150895.13
1506580647,135623.68
1506580955,146854.25
1506581264,148746.19
1506581572,147243.88
1506581880,136319.35
1506582188,141234.80
1506582497,142251.56
1506582805,145520.85
1506583114,158851.93
1506583421,153206.05
1506583729,157787.88
1506584037,156052.41
1506584345,159397.43
1506584653,159881.59
1506584961,156334.31
1506585269,153068.84
1506585577,147569.17
1506585885,150621.36
1506586193,156158.89
1506586501,162324.83
1506586809,157053.07
1506587116,156404.65
1506587424,159114.50
1506587732,164019.14
1506588040,158468.07
1506588348,167833.33
1506588656,157310.58
1506588964,151849.83
1506589272,153947.58
1506589580,149053.85
1506589887,147159.59
1506590195,156791.87
1506590503,151034.04
1506590811,156513.41
1506591119,153963.87
1506591428,157899.60
1506591735,150399.50
1506592043,161767.58
1506592351,88310.73
1506592659,83691.31
1506592967,85406.73
1506593276,79598.60
1506593584,86029.96
1506593892,87279.60
1506594200,74839.23
1506594508,88670.33
1506594816,85578.81
1506595124,80399.21
1506595433,84067.38
1506595741,78945.46
1506596049,82924.11
1506596357,78077.31
1506596665,144379.22
1506596973,152294.50
1506597281,149080.23
1506597589,129353.15
1506597897,142729.99
1506598205,158375.23
1506598514,145097.50
1506598822,136305.29
1506599130,133926.27
1506599438,150139.14
1506599746,156557.63
1506600054,114118.47
1506600365,90627.77
1506600676,107943.31
